feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,1.0167433281428744,male,37.0,10.0,no,3,18,7,4
5,0.5557549985423478,female,27.0,4.0,no,4,14,6,4
11,1.9293615129430404,female,32.0,15.0,yes,1,12,1,4
16,1.9945359287921633,male,57.0,15.0,yes,5,18,6,5
23,0.24342991023528493,male,22.0,0.75,no,2,17,6,3
29,0.46586958680891094,female,32.0,1.5,no,2,17,5,5
44,0.956106746176248,female,22.0,0.75,no,2,12,1,3
45,1.5636792389062866,male,57.0,15.0,yes,2,14,4,4
47,1.666333277065417,female,32.0,15.0,yes,4,16,1,2
49,0.6198415343440723,male,22.0,1.5,no,4,14,4,5
50,1.9735668433938973,male,37.0,15.0,yes,2,20,7,2
55,1.9387344219728555,male,27.0,4.0,yes,4,18,6,4
64,1.6947295623532206,male,47.0,15.0,yes,5,17,6,4
80,1.2987197459592856,female,22.0,1.5,no,2,17,5,4
86,1.0725515135912573,female,27.0,4.0,no,4,14,5,4
93,1.3775117428728574,female,37.0,15.0,yes,1,17,5,5
108,1.7985075826862074,female,37.0,15.0,yes,2,18,4,3
114,0.5835580881038936,female,22.0,0.75,no,3,16,5,4
115,1.2134296419459552,female,22.0,1.5,no,2,16,5,5
116,1.6549775015703714,female,27.0,10.0,yes,2,14,1,5
123,0.8489064792399001,female,22.0,1.5,no,2,16,5,5
127,0.6788455144282366,female,22.0,1.5,no,2,16,5,5
129,2.091202707587616,female,27.0,10.0,yes,4,16,5,4
134,1.6191174710997978,female,32.0,10.0,yes,3,14,1,5
137,1.5252543580438787,male,37.0,4.0,yes,2,20,6,4
139,0.7915628360110263,female,22.0,1.5,no,2,18,5,5
147,1.0947660931818464,female,27.0,7.0,no,4,16,1,5
151,1.7973739782725815,male,42.0,15.0,yes,5,20,6,4
153,1.8135853630952585,male,27.0,4.0,yes,3,16,5,5
155,1.819786396773949,female,27.0,4.0,yes,3,17,5,4
162,2.406289259862669,male,42.0,15.0,yes,4,20,6,3
163,0.7729541498936502,female,22.0,1.5,no,3,16,5,5
165,0.7366744611381941,male,27.0,0.417,no,4,17,6,4
168,1.3931167461642677,female,42.0,15.0,yes,5,14,5,4
170,1.8832621127448497,male,32.0,4.0,yes,1,18,6,4
172,1.2993131940337848,female,22.0,1.5,no,4,16,5,3
184,1.6330297363980115,female,42.0,15.0,yes,3,12,1,4
187,0.6242595897394816,female,22.0,4.0,no,4,17,5,5
192,1.3894456794689474,male,22.0,1.5,yes,1,14,3,5
194,1.135315890265471,female,22.0,0.75,no,3,16,1,5
210,1.9268942403739433,male,32.0,10.0,yes,5,20,6,5
217,1.858296308765784,male,52.0,15.0,yes,5,18,6,3
220,0.6841317185518765,female,22.0,0.417,no,5,14,1,4
224,1.7516822001175794,female,27.0,4.0,yes,2,18,6,1
227,1.712095067430462,female,32.0,7.0,yes,5,17,5,3
228,0.9872511799236308,male,22.0,4.0,no,3,16,5,5
239,1.9708348559366102,female,27.0,7.0,yes,4,18,6,5
241,1.748745694949184,female,42.0,15.0,yes,2,18,5,4
245,1.9048370950564883,male,27.0,1.5,yes,4,16,3,5
249,1.6952603727637219,male,42.0,15.0,yes,2,20,6,4
262,1.0113961558384035,female,22.0,0.75,no,5,14,3,5
265,1.8885102524192359,male,32.0,7.0,yes,2,20,6,4
267,1.1725531742848747,male,27.0,4.0,yes,5,20,6,5
269,1.5625038434553313,male,27.0,10.0,yes,4,20,6,4
271,0.7510282938212675,male,22.0,4.0,no,1,18,5,5
277,1.4530739317670471,female,37.0,15.0,yes,4,14,3,1
290,1.5777691927152233,male,22.0,1.5,yes,5,16,4,4
292,2.1845864345015786,female,37.0,15.0,yes,4,17,1,5
293,0.6154578507770725,female,27.0,0.75,no,4,17,5,4
295,2.00403667432147,male,32.0,10.0,yes,4,20,6,4
299,1.095174275037118,female,47.0,15.0,yes,5,14,7,2
320,1.5572882679769364,male,37.0,10.0,yes,3,20,6,4
