feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,1.951670710791473,male,37.0,10.0,no,3,18,7,4
5,-2.635105255261423,female,27.0,4.0,no,4,14,6,4
11,4.2318821752776525,female,32.0,15.0,yes,1,12,1,4
16,4.880359425184052,male,57.0,15.0,yes,5,18,6,5
23,-5.742700646848855,male,22.0,0.75,no,2,17,6,3
29,-3.5294538098006787,female,32.0,1.5,no,2,17,5,5
44,1.3483443379326832,female,22.0,0.75,no,2,12,1,3
45,0.5933894888861506,male,57.0,15.0,yes,2,14,4,4
47,1.614784272252131,female,32.0,15.0,yes,4,16,1,2
49,-1.997452275157427,male,22.0,1.5,no,4,14,4,5
50,4.671719659795144,male,37.0,15.0,yes,2,20,7,2
55,4.325141442615745,male,27.0,4.0,yes,4,18,6,4
64,1.8973237434707335,male,47.0,15.0,yes,5,17,6,4
80,4.757300643668037,female,22.0,1.5,no,2,17,5,4
86,2.50695514488005,female,27.0,4.0,no,4,14,5,4
93,-1.2589537086224354,female,37.0,15.0,yes,1,17,5,5
108,2.929902008261906,female,37.0,15.0,yes,2,18,4,3
114,-2.3584680069965396,female,22.0,0.75,no,3,16,5,4
115,3.90867482364023,female,22.0,1.5,no,2,16,5,5
116,1.501795732690396,female,27.0,10.0,yes,2,14,1,5
123,0.28171514937126085,female,22.0,1.5,no,2,16,5,5
127,-1.410370085927101,female,22.0,1.5,no,2,16,5,5
129,5.84218173005445,female,27.0,10.0,yes,4,16,5,4
134,1.1449929345655843,female,32.0,10.0,yes,3,14,1,5
137,0.21106675158200416,male,37.0,4.0,yes,2,20,6,4
139,-0.2888468967352753,female,22.0,1.5,no,2,18,5,5
147,2.7279874210124606,female,27.0,7.0,no,4,16,1,5
151,2.918622786759842,male,42.0,15.0,yes,5,20,6,4
153,3.079924029126487,male,27.0,4.0,yes,3,16,5,5
155,3.1416235352002087,female,27.0,4.0,yes,3,17,5,4
162,8.977253341203609,male,42.0,15.0,yes,4,20,6,3
163,-0.4740009858137706,female,22.0,1.5,no,3,16,5,5
165,-0.8349793311519409,male,27.0,0.417,no,4,17,6,4
168,-1.103685886312829,female,42.0,15.0,yes,5,14,5,4
170,3.773198934724151,male,32.0,4.0,yes,1,18,6,4
172,4.763205377455056,female,22.0,1.5,no,4,16,5,3
184,1.2834182264997545,female,42.0,15.0,yes,3,12,1,4
187,-1.9534931790086936,female,22.0,4.0,no,4,17,5,5
192,-1.1402125387390707,male,22.0,1.5,yes,1,14,3,5
194,3.131452807766753,female,22.0,0.75,no,3,16,1,5
210,4.207333123175958,male,32.0,10.0,yes,5,20,6,5
217,3.524792321559782,male,52.0,15.0,yes,5,18,6,3
220,-1.3577730189970714,female,22.0,0.417,no,5,14,1,4
224,2.4639953343269445,female,27.0,4.0,yes,2,18,6,1
227,2.070108337379399,female,32.0,7.0,yes,5,17,5,3
228,1.6582275410771368,male,22.0,4.0,no,3,16,5,5
239,4.644536727811811,female,27.0,7.0,yes,4,18,6,5
241,2.4347774768114236,female,42.0,15.0,yes,2,18,5,4
245,3.98786729828293,male,27.0,1.5,yes,4,16,3,5
249,1.9026052403700748,male,42.0,15.0,yes,2,20,6,4
262,1.8984670181215428,female,22.0,0.75,no,5,14,3,5
265,3.8254172651661014,male,32.0,7.0,yes,2,20,6,4
267,-3.2982657173464185,male,27.0,4.0,yes,5,20,6,5
269,0.5816944518128226,male,27.0,10.0,yes,4,20,6,4
271,-0.6921604992120582,male,22.0,4.0,no,1,18,5,5
277,-0.5071194219224746,female,37.0,15.0,yes,4,14,3,1
290,0.733582759179196,male,22.0,1.5,yes,5,16,4,4
292,6.771338081150333,female,37.0,15.0,yes,4,17,1,5
293,-2.0410693759315834,female,27.0,0.75,no,4,17,5,4
295,4.974890649632121,male,32.0,10.0,yes,4,20,6,4
299,-4.068176043832984,female,47.0,15.0,yes,5,14,7,2
320,0.5298001310299796,male,37.0,10.0,yes,3,20,6,4
321,1.4674314335303433,female,22.0,0.75,no,2,16,5,5
324,2.9118851702019786,male,27.0,4.0,no,2,18,4,5
334,3.3382746821182705,male,32.0,7.0,no,4,20,6,4
351,4.378200572686696,male,42.0,15.0,yes,2,17,3,5
355,0.4825917446013108,male,37.0,10.0,yes,4,20,6,4
361,0.09501098261923469,female,47.0,15.0,yes,3,17,6,5
362,3.838836573490051,female,22.0,1.5,no,5,16,5,5
366,0.25974161819602815,female,27.0,1.5,no,2,16,6,4
370,-3.439085556452245,female,27.0,4.0,no,3,17,5,5
374,-2.193549849647713,female,32.0,10.0,yes,5,14,4,5
378,-2.2239711966510156,female,22.0,0.125,no,2,12,5,5
381,3.3679084027920254,male,47.0,15.0,yes,4,14,4,3
382,2.157907232360205,male,32.0,15.0,yes,1,14,5,5
383,4.02733867926843,male,27.0,7.0,yes,4,16,5,5
384,0.21473417650284787,female,22.0,1.5,yes,3,16,5,5
400,2.212871935529985,male,27.0,4.0,yes,3,17,6,5
403,3.0461696382171577,female,22.0,1.5,no,3,16,5,5
409,0.6169119255158069,male,57.0,15.0,yes,2,14,7,2
412,3.2301534335069446,male,17.5,1.5,yes,3,18,6,5
413,-0.5857364703242678,male,57.0,15.0,yes,4,20,6,5
416,-0.32609602844506935,female,22.0,0.75,no,2,16,3,4
418,-0.389827317305389,male,42.0,4.0,no,4,17,3,3
422,-2.406916204048989,female,22.0,1.5,yes,4,12,1,5
435,2.5733439136112457,female,22.0,0.417,no,1,17,6,4
439,0.07096156380980378,female,32.0,15.0,yes,4,17,5,5
445,0.954898142784429,female,27.0,1.5,no,3,18,5,2
447,3.3119199556596444,female,22.0,1.5,yes,3,14,1,5
448,3.195210937956017,female,37.0,15.0,yes,3,14,1,4
449,3.9417217391312662,female,32.0,15.0,yes,4,14,3,4
478,1.3361590194357247,male,37.0,10.0,yes,2,14,5,3
482,0.22822241142294275,male,37.0,10.0,yes,4,16,5,4
486,1.400174192774775,male,57.0,15.0,yes,5,20,5,3
489,-4.843217329316255,male,27.0,0.417,no,1,16,3,4
490,-3.264007857606086,female,42.0,15.0,yes,5,14,1,5
491,-2.8396355714994694,male,57.0,15.0,yes,3,16,6,1
492,-1.729516069310442,male,37.0,10.0,yes,1,16,6,4
503,3.035722976200139,male,37.0,15.0,yes,3,17,5,5
508,-1.4164961831386798,male,37.0,15.0,yes,4,20,6,5
509,0.38218048938258553,female,27.0,10.0,yes,5,14,1,5
512,6.103760960167578,male,37.0,10.0,yes,2,18,6,4
515,-0.3029357619881232,female,22.0,0.125,no,4,12,4,5
517,4.18775874830072,male,57.0,15.0,yes,5,20,6,5
532,-1.5124770364358877,female,37.0,15.0,yes,4,18,6,4
533,0.9713454796633294,male,22.0,4.0,yes,4,14,6,4
535,-1.5684323619136444,male,27.0,7.0,yes,4,18,5,4
537,0.515651145734072,male,57.0,15.0,yes,4,20,5,4
538,4.538384217991769,male,32.0,15.0,yes,3,14,6,3
543,-4.979609545154991,female,22.0,1.5,no,2,14,5,4
