rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
270,62933,Brittan Elementary,Sutter,KK-08,22462,576.4106427872421,40.37811773894869,51.319227103096935,2188,2859.5945244669565,20.260921755313564,55.07573192713731,53.39563013115384,69.29903867748459
289,64917,Placer Hills Union Elementary,Placer,KK-08,10267,487.16645102857456,47.36611495728993,58.712755868940214,3105,2294.634662207988,19.95219030987017,42.24579851304064,34.614050169482184,73.24856237896591
380,67009,Susanville Elementary,Lassen,KK-08,12164,1092.4578063803992,36.83927574556974,61.75436290952379,2238,2191.411821188266,23.031185984398213,38.4642733116145,7.446965959209216,77.85600910029444
153,72069,Palmdale Elementary,Los Angeles,KK-08,22116,547.6340320388326,51.45051120227702,15.938670134572227,2365,1737.9758421441516,21.835209701040647,25.50204277537067,63.523265306515356,55.71721025428578
237,65698,Keppel Union Elementary,Los Angeles,KK-08,22682,379.9350972370427,27.133690364399442,17.4271864994883,1366,1783.026020472618,18.23396663811346,20.036211649052326,4.319383738474983,36.95254362039418
98,71394,Magnolia Union Elementary,Imperial,KK-08,24348,827.6544557586109,40.529104466777525,47.38998201001444,2460,2890.921776242578,20.724543693336123,4.876581874898392,49.01535934579553,39.86105792518488
420,71094,Westmorland Union Elementary,Imperial,KK-08,2527,781.1837437138764,81.47985315085663,21.42996985614011,1199,1592.2118739346781,14.119953050669071,51.720350421800234,45.19786496570911,83.274810368049
333,63391,Brittan Elementary,Sutter,KK-08,25627,729.6963226760569,52.09907620122981,50.582471205574926,342,2170.2720481507245,20.277491925070308,27.375795499821855,52.6883904993644,70.86104685447344
389,72309,Exeter Union Elementary,Tulare,KK-08,15333,720.8013949649755,69.75224677548127,112.0841749753644,347,1791.5603011821938,28.101135448868632,42.0013953100828,68.07988749566518,61.713793999763425
61,65169,Nuestro Elementary,Sutter,KK-08,6943,829.5180088770567,33.515455771972654,53.62199165005214,498,1302.814094011998,20.70846054993708,38.92590635862695,66.9576622357199,18.60990455366087
197,67997,Lowell Joint Elementary,Los Angeles,KK-08,23061,328.9599588869951,46.91966021371712,21.995272848938207,2489,2867.0631339588795,24.462007727462154,24.361558251253516,108.14079802312224,33.20620284319782
144,65501,El Monte City Elementary,Los Angeles,KK-08,5914,637.8201119437687,45.59160216548242,32.30042721361166,3163,2015.919214111051,30.56765820292967,32.09534406176316,22.023591204122486,23.939845004794478
232,65732,Nevada City Elementary,Nevada,KK-08,25145,916.6417258243031,39.52551592159996,39.332974175302994,475,1385.0898363420374,17.54647094600923,60.21275752061558,47.249649026829815,61.125632573842566
85,61442,Little Lake City Elementary,Los Angeles,KK-08,10010,851.0208849194402,43.756195501126385,35.34008279024266,2456,1751.4020315438165,23.431837037558935,33.61064666490077,56.745382812448426,47.40260034660187
264,64172,Rescue Union Elementary,El Dorado,KK-08,21234,605.3974111475407,60.02431469788015,56.48164353621611,349,1982.2977321784233,27.843710244139515,27.028109021118475,11.251708375668805,43.163918469010895
274,73736,New Jerusalem Elementary,San Joaquin,KK-08,23930,259.7728735981168,41.47753207409662,9.912038931741037,711,2335.7503354841338,23.798670473159753,33.03765267472177,33.05651613022434,54.350187469797355
295,66147,Big Springs Union Elementary,Siskiyou,KK-08,17657,500.4307560780244,49.02873410504816,49.94720432356009,2612,1253.41080892086,23.46626504427941,44.1709750700016,78.3862606318893,101.24569830814855
309,71651,Reeds Creek Elementary,Tehama,KK-08,20236,677.285089819192,54.025722091976576,20.732044649979006,1514,2115.00327650294,29.38501468224929,82.61033809524164,76.17999063859801,55.43498715078478
315,73310,Gravenstein Union Elementary,Sonoma,KK-08,25262,585.7581136955014,43.60500490626322,55.886273455666625,1694,1278.7085164698549,31.479097132291603,43.534960489010444,47.756460203761364,69.58862169390889
102,69973,Sundale Union Elementary,Tulare,KK-08,816,688.7996935378014,42.874229126449045,88.10765264705984,293,1582.616690200477,18.116210444283404,54.23018910789836,56.53762958866348,74.05268892856692
168,62461,Rocklin Unified,Placer,KK-08,9492,479.12500525836174,47.83083807937861,46.560021485579725,1060,899.0624329912362,23.093114546114133,46.484254890792926,67.09789218922919,84.38135004089851
269,62545,Portola Valley Elementary,San Mateo,KK-08,14822,1028.205420388474,31.605863296492984,8.491914756728427,1803,1568.6814799252447,27.00669557958353,44.51452773707066,64.14433559352469,64.93578174392057
334,63633,Foresthill Union Elementary,Placer,KK-08,17281,749.7786315146564,46.62875784620565,16.16368756531226,433,1397.1959557326338,27.332978889357626,38.51124500997589,53.19508118654693,15.943080153273655
311,63305,Knights Ferry Elementary,Stanislaus,KK-08,2709,759.340272350795,32.97351420284673,76.36316358292635,3273,2224.3040433896085,20.39182591065195,44.590326622789036,41.07560219280497,67.52574578806278
230,65069,Cinnabar Elementary,Sonoma,KK-06,17937,772.9082429706239,36.57629670794773,46.68748206739435,1422,1756.33682891902,37.10386577576681,78.0034483735658,66.59613387913508,39.7461300290266
167,63164,Forestville Union Elementary,Sonoma,KK-08,2998,720.2370447560099,39.40946540944517,28.352249850945906,958,1900.6586727827942,24.590141068861058,40.37540700919152,65.01227506260494,18.621623856446988
209,70201,Black Butte Union Elementary,Shasta,KK-08,26004,812.4650066022773,39.84440574218481,54.42774672485879,3318,1432.5313948627277,25.82270809227757,33.28784687684084,40.162594000708445,70.20097671426834
86,62947,Pleasant Valley Elementary,Ventura,KK-08,21571,295.35151092123135,26.253282530118177,68.36488236566595,1455,2748.643790546311,17.45426950249998,89.08015623428975,73.39228880408264,55.636899736081084
24,68337,Pleasant View Elementary,Tulare,KK-08,13733,997.5609776617671,25.289766378712756,87.43124413940802,1740,2744.9087948592405,22.627570357763485,54.1358713231293,50.83612175887979,66.05227645863644
11,62689,Buellton Union Elementary,Santa Barbara,KK-08,14276,767.8878220462852,45.3110527797693,56.37758562321299,1468,1869.806097371794,28.895980106942194,36.38277563956853,34.04220172600354,107.35319582384194
10,74081,Campbell Union Elementary,Santa Clara,KK-08,4614,887.9491489253897,34.444961340161804,68.92640747251556,657,2691.909337986401,31.514478996882684,21.74068525274312,67.3393993330508,61.57011901695022
414,72764,Gold Trail Union Elementary,El Dorado,KK-08,24843,687.1063611636913,49.31971406138548,85.1822065439506,1304,973.679078335449,21.58418656823542,50.88729458703871,20.360475614306626,27.802443737974585
2,61972,Bakersfield City Elementary,Kern,KK-08,10548,381.6185898646866,42.89384543615018,47.20343694561257,313,1449.9993973113321,22.0668657682781,26.771623838853195,59.95440532888301,59.749474076867955
106,68851,Santa Rita Union Elementary,Monterey,KK-08,17117,523.4446926320725,49.27069815924678,86.66392857995703,2794,1777.6854308937423,31.918372666571212,54.60255979164799,41.807723697883205,75.037256161892
37,72747,Savanna Elementary,Orange,KK-06,14043,759.066142033649,38.05835827341837,22.254721147626892,1139,1802.518070963572,25.679610019154282,21.088112944065156,26.60850082201768,36.34497830519378
410,75063,Janesville Union Elementary,Lassen,KK-08,799,457.34665625847765,29.634961094995194,49.42710989451538,17,2748.6817325655084,17.651932367130946,49.73338436011964,67.28240019198826,55.6180297998725
115,67331,Susanville Elementary,Lassen,KK-08,10256,833.13929998478,55.846728698810736,94.18390637635038,896,1427.5626505966109,20.011509261961617,42.17842954963446,25.516865729845726,76.58746460995827
251,62216,Shaffer Union Elementary,Lassen,KK-08,16192,618.0036130927118,26.427196283826046,21.043571910962704,2264,3027.7709393517066,34.3629506142174,51.559426359078195,36.08983210400268,43.11958794553784
243,61905,Weed Union Elementary,Siskiyou,KK-08,2505,642.8710903144203,50.793188877432485,34.64963480325525,1102,2053.451649594598,23.157462190384944,28.39428841409318,53.03834354259635,91.37709478756528
330,69062,Hawthorne Elementary,Los Angeles,KK-08,25986,467.82699786139494,55.12044670820724,63.93953610421377,41,1598.9051625190466,23.262990382598435,47.56477719599808,86.70338646449885,68.2314242926086
69,63497,Union Hill Elementary,Nevada,KK-08,3299,676.6634289122519,32.210002038641775,-0.38906806151737783,2353,2115.007328801611,22.31736098146876,-3.264367874724236,59.75611627460004,58.950837178333884
157,69114,Whittier City Elementary,Los Angeles,KK-08,13594,603.8505734187904,55.10564252663263,55.82695052138133,380,2893.8893700528906,23.826821316866837,51.45757412692803,49.02880183923101,43.989744998746424
31,74918,Etiwanda Elementary,San Bernardino,KK-08,16261,666.686321806347,39.26549821877687,50.59081831651699,1104,1605.793617551245,41.77313826097732,38.870242212486545,66.65983457892835,46.080403900550415
420,71461,Freshwater Elementary,Humboldt,KK-06,1282,868.8894370733336,41.52387896535708,87.77966519832466,195,1875.9523017517008,17.538603357790027,69.45381781665702,43.38758414443721,48.104542191803226
337,69339,Big Springs Union Elementary,Siskiyou,KK-08,25668,586.2931981421386,46.56194813529035,68.63398527323307,2394,1281.1676675878984,19.16516542428084,47.91381497826392,20.13248638054354,51.379868613641335
133,61675,Soquel Elementary,Santa Cruz,KK-08,17571,614.8324125707095,67.75243732873355,31.877353197738614,2047,2985.670697969221,23.655849172944805,24.175686684278105,48.497236025091205,36.523585601265225
108,68942,Redwood City Elementary,San Mateo,KK-08,17629,693.345326399851,38.88426086273281,56.90876057929435,1012,1341.117627301715,24.946020917888138,55.4086598782016,35.54013519629862,47.50056617104268
163,71418,Westmorland Union Elementary,Imperial,KK-08,24431,876.3716553859413,32.150445459912945,64.03133497804923,1894,1499.8294673304354,38.3852744422459,30.473683762161542,82.7491195964987,54.35407696901721
164,66662,Bonsall Union Elementary,San Diego,KK-08,9150,877.6686936175967,52.58673551956443,4.6296436458218295,3159,2078.1810516164605,24.443643672121308,22.0895125861424,9.546620798207016,74.80300775558355
126,67691,Marcum-Illinois Union Elementary,Sutter,KK-08,19993,689.4089158884399,44.85582186851414,36.53608692278403,3187,1415.2249357801957,20.9702537986116,39.37470668319269,53.77053737486785,77.41416853615323
42,62880,Hughes-Elizabeth Lakes Union Elementary,Los Angeles,KK-08,5087,616.5886301672263,29.542354923722932,70.2002316392389,1296,1975.488579079025,34.60429439922039,41.52258426718183,67.7680305553773,41.762790922872796
14,73213,Ballard Elementary,Santa Barbara,KK-06,2488,982.9767061770154,68.52560964677046,75.06659682410802,1013,2528.3906294075678,21.51318119191181,77.33427644077668,38.52631712526655,77.22046296851694
