chimpanzee,age,sex,hammer,nuts_opened,seconds,help
1,6,m,G,31,39.528387423795586,N
22,9,m,G,38,71.82790452742675,N
5,14,m,G,43,94.68598891881157,N
6,13,f,G,70,63.82952015134904,N
6,6,m,G,31,94.43394887573122,N
9,4,m,G,16,85.1717201340582,N
22,3,m,G,63,54.74741040304681,N
16,14,m,G,42,65.73050094466697,N
13,12,m,L,21,73.17288188108704,N
11,12,f,wood,25,76.11638192373174,N
3,16,m,G,63,74.60929423819097,y
18,9,m,G,7,62.01810004174048,N
4,13,m,G,12,54.96770418299354,N
19,15,m,wood,62,64.19051096294214,N
1,5,f,G,60,31.059690323275866,N
5,7,m,G,33,60.15011926779269,N
6,6,f,G,74,76.04471884377789,N
13,12,m,G,70,72.97686031202906,N
3,15,m,G,19,70.52538338726171,N
9,8,f,L,44,44.96281208407929,N
4,12,m,G,56,61.77209819767497,N
9,4,m,G,15,77.6319372648183,N
2,13,m,G,52,76.30826729935168,y
8,16,m,G,51,81.92216342118269,N
13,16,m,G,44,90.98592394532508,N
12,5,f,G,62,88.67552281224391,N
8,14,m,G,29,47.95441201818345,N
19,6,m,G,52,68.14558426201738,N
11,16,m,G,17,62.355816572940086,N
14,3,f,G,75,82.58541921377937,N
5,16,f,G,20,80.15584599678226,N
5,11,m,G,23,41.157529397946604,N
16,3,f,G,25,118.02114253716184,N
22,10,m,G,64,53.41097352568892,y
18,9,m,L,70,94.50485639042222,N
20,3,f,G,71,92.55504579652661,N
21,15,f,wood,60,69.71295467296856,N
20,9,m,G,7,44.626293760661326,y
8,3,m,Q,55,73.93054291294108,N
19,13,m,G,21,106.80835156036585,N
8,3,m,G,61,51.28509722118271,N
7,13,f,G,61,77.02506846657977,N
11,15,m,G,75,97.94874448835878,N
3,9,f,G,16,100.48047567373254,y
8,14,m,G,5,53.99127776035651,N
18,6,m,G,42,60.044426605718186,N
10,15,m,G,72,74.35792634076188,N
15,10,m,G,31,50.92405726625874,N
2,6,m,G,65,67.31251916447584,N
12,13,m,G,22,31.36498139090039,N
7,8,m,G,30,89.20805724400151,N
3,11,m,G,73,60.69594191961263,N
11,5,m,G,36,70.39977886128321,y
8,3,f,wood,34,56.330623439522846,N
15,11,m,G,10,60.29214666177203,N
10,5,m,G,6,69.06435569972989,N
8,11,m,G,15,63.76013021222057,N
7,12,m,G,71,90.3780854658977,N
13,16,m,G,32,79.67818054354143,N
17,8,m,G,29,69.72127248313306,N
16,12,f,G,74,73.4680938729033,y
13,13,m,G,20,76.901078297453,N
19,8,m,Q,53,84.10132692968324,N
6,10,m,G,72,84.90766144914943,y
9,11,f,G,48,76.03384361543678,y
6,6,m,G,59,63.96525386122169,y
7,10,f,G,5,92.33124595248776,N
6,7,m,G,49,70.47062427957812,N
3,7,m,G,59,56.85975435133928,y
10,4,m,G,75,94.54128928981848,N
2,14,m,G,66,69.06422528395444,N
1,16,f,G,53,56.943396354708376,N
3,13,m,G,18,62.834903735629645,N
9,4,m,G,57,54.55435013455277,N
13,15,m,G,12,100.26384235332156,N
17,8,m,G,55,54.33295289928101,N
17,14,m,G,31,87.43585315246226,N
10,13,f,G,53,58.09609279746778,N
18,9,f,G,59,52.360367616600826,N
9,4,m,G,6,50.26406933059663,N
6,8,m,G,28,72.71440678763668,N
11,14,m,G,38,46.559719682389634,N
21,7,m,L,40,58.81441486714446,N
18,14,m,wood,30,64.66609018346514,N
