focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
3,3,2,1,431,812,9,10,3,3,9,4
1,6,4,1,309,462,13,12,4,3,4,9
5,4,7,0,411,130,8,13,3,3,7,8
3,4,4,1,301,537,8,10,2,4,9,7
1,5,7,0,738,707,6,13,2,3,9,5
5,3,5,1,470,708,11,6,2,2,3,8
4,5,4,0,740,119,11,7,3,3,4,7
4,4,7,1,250,207,6,5,2,2,8,9
1,3,2,1,222,145,12,7,2,2,5,6
6,3,7,1,409,755,9,7,2,3,5,6
4,5,7,0,339,629,5,6,3,2,5,5
5,2,2,1,265,655,8,5,4,2,9,9
6,4,3,1,736,422,7,7,2,2,5,5
3,4,5,0,705,764,6,8,3,2,9,4
3,5,6,0,207,331,8,10,3,4,9,6
5,3,1,1,325,542,10,5,2,4,7,8
4,1,2,1,665,478,6,11,3,3,5,8
2,1,6,1,275,143,10,7,3,4,3,6
5,1,4,1,675,222,12,12,2,4,3,9
5,2,7,1,299,68,9,13,3,2,6,5
5,2,5,1,347,297,5,9,2,2,8,6
1,1,5,0,748,803,8,5,2,3,6,6
5,2,4,1,307,359,12,8,4,4,3,9
3,6,5,0,325,754,9,11,4,4,4,4
4,1,1,1,354,354,7,6,3,2,5,8
4,5,7,1,446,529,12,6,4,2,6,6
4,3,2,0,695,733,10,13,3,2,4,3
3,4,5,1,196,812,7,12,2,4,3,9
6,1,4,1,464,738,6,8,4,3,6,3
3,1,4,1,348,372,7,5,4,4,9,9
2,3,3,0,620,270,7,9,3,2,9,4
1,1,7,1,730,243,8,9,3,2,4,7
6,2,4,1,332,748,6,7,3,4,4,8
4,1,8,0,654,443,11,12,3,4,9,3
5,5,7,0,389,228,6,6,3,4,4,3
6,5,7,1,257,233,5,5,3,2,7,8
3,1,4,0,158,313,6,8,3,4,4,5
1,4,4,0,200,183,10,13,3,2,5,4
2,4,1,0,195,338,8,9,4,3,7,8
6,3,3,0,663,691,6,12,2,2,9,4
1,2,4,0,475,588,9,10,4,2,9,5
2,5,2,1,485,550,11,13,3,4,6,3
4,6,4,1,222,538,6,8,4,3,5,6
2,3,1,0,114,507,11,13,3,4,3,7
6,1,4,1,327,675,9,9,4,2,6,7
6,3,8,0,273,284,8,9,4,4,3,9
2,4,1,1,604,724,8,13,4,4,5,5
2,6,8,0,690,846,8,11,2,4,4,6
4,6,6,0,708,686,9,7,3,2,4,5
5,6,1,1,727,104,11,8,4,2,6,5
3,1,2,0,456,620,10,13,2,3,5,9
3,2,6,1,610,652,9,6,2,3,3,8
2,6,8,1,438,707,9,6,3,4,4,3
5,6,2,1,92,532,10,9,4,2,9,8
2,6,3,0,264,325,10,9,2,3,7,6
3,5,1,0,732,69,6,11,2,4,3,8
6,2,2,0,327,325,5,8,3,2,3,8
5,4,5,1,510,217,12,11,2,4,7,9
