,coef,pvalue,odds_ratio
const,0.5859043585778516,0.4341765531285755,1.7966150353859014
female,-0.1359399561530201,0.17334044378763724,0.8728950428916273
black,0.1399980015706844,0.08958207427172243,1.1502715001186437
housing_expense_ratio,-0.3898047542933585,0.36701544211298676,0.6771890798519065
self_employed,-0.05039259664920982,0.5410869302119814,0.9508560483139409
married,0.14342968611653023,0.08633532220219063,1.1542256498659282
mortgage_credit,0.020603974344561807,0.5780981659588139,1.0208177015769646
consumer_credit,-0.015343782505326663,0.5224916771710757,0.9847733335591906
bad_history,0.013832814988652851,0.8667129964491078,1.0139289310477837
PI_ratio,0.5338295888766684,0.2893832707799141,1.7054509948672394
loan_to_value,-0.3788417097794526,0.09897151172951987,0.6846539781186514
denied_PMI,0.0555570296390715,0.5000794492979287,1.0571293030559679
