focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
1,1,8,0,705,736,12,7,2,2,5,6
5,2,1,0,279,792,7,7,4,4,5,6
3,1,5,1,271,220,6,5,3,3,7,8
1,5,8,0,89,243,10,6,3,3,4,4
6,2,5,0,226,815,10,10,4,2,3,7
6,1,8,0,521,289,11,10,4,3,4,7
5,3,7,1,638,363,6,10,2,3,4,8
1,4,8,1,705,100,7,11,2,3,3,9
6,4,4,0,160,230,12,11,3,3,3,9
1,4,3,1,633,496,9,9,3,2,6,6
5,4,6,1,501,475,10,10,2,4,3,9
3,4,8,0,321,748,7,10,3,2,5,5
2,3,3,0,113,735,5,13,3,3,9,6
6,6,8,0,288,731,6,7,3,4,3,3
1,2,5,1,582,532,13,7,2,3,6,7
1,5,5,1,661,162,8,10,4,4,7,7
1,3,8,0,149,583,7,7,3,4,8,6
6,4,3,1,564,481,6,12,3,2,3,8
4,5,8,0,368,726,12,13,4,2,9,8
3,1,6,0,488,445,11,11,3,4,3,5
3,4,8,0,438,449,9,8,4,4,7,4
5,1,2,0,384,721,12,10,3,4,8,7
4,3,2,0,151,686,7,11,3,4,3,9
6,5,5,0,388,154,13,11,3,2,5,5
6,4,6,0,598,583,10,13,2,4,7,3
6,4,3,0,699,482,12,10,4,4,4,5
5,3,3,1,573,79,6,5,4,2,8,5
6,2,5,0,339,767,12,6,3,4,4,4
4,1,8,1,192,598,13,6,4,2,8,3
3,2,5,1,372,465,6,6,4,4,8,6
5,6,2,1,538,288,8,8,3,2,7,6
1,1,1,1,484,575,13,5,3,3,3,7
4,1,4,0,309,634,6,12,4,2,4,3
6,2,5,0,732,634,12,5,3,4,3,5
2,3,8,0,712,679,6,8,4,2,6,8
5,4,3,0,512,260,9,10,4,2,8,7
1,2,1,0,291,837,6,6,2,2,9,9
6,3,4,1,149,695,11,11,4,2,4,4
1,2,1,0,239,167,10,13,3,3,7,7
3,1,4,0,445,676,11,12,3,3,9,4
2,3,7,0,697,816,10,13,3,3,9,7
3,2,3,1,487,414,5,10,2,4,3,9
6,2,6,1,500,628,10,9,3,2,4,3
6,3,6,1,199,632,12,13,2,2,6,3
5,5,7,0,332,785,12,5,3,3,5,3
2,1,1,1,165,484,11,13,2,4,7,6
6,6,2,1,188,79,5,8,3,3,6,9
2,3,1,1,575,423,13,10,4,2,3,9
6,6,1,1,733,677,10,9,2,2,5,6
4,4,2,0,232,703,5,6,3,2,3,7
5,5,5,0,253,618,9,13,3,3,9,4
1,5,8,1,393,754,9,6,2,3,3,7
3,5,3,0,316,815,6,7,4,2,6,6
1,3,2,0,256,102,9,12,3,2,7,4
4,1,8,0,598,389,10,8,4,3,9,9
4,2,2,1,104,623,9,5,3,4,4,9
6,3,8,0,344,583,11,6,2,4,4,7
4,4,8,1,719,520,6,11,4,3,3,4
