focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
1,1,6,1,408,609,11,11,2,3,9,6
3,3,1,0,529,806,7,5,3,3,4,4
1,4,3,1,269,514,12,9,2,3,8,8
2,2,4,1,608,290,7,7,3,4,8,6
2,1,2,1,92,272,10,8,2,4,9,8
6,3,7,0,503,535,9,7,4,2,6,5
3,3,4,0,477,853,13,5,4,3,4,4
1,2,8,1,563,263,10,6,3,3,8,3
4,5,3,0,492,159,6,7,3,4,9,6
6,5,3,0,455,700,10,13,4,2,8,8
6,4,4,0,224,357,12,8,3,2,8,5
2,3,3,1,250,648,12,8,4,4,6,4
5,1,2,1,287,564,13,10,4,2,8,7
2,5,6,0,505,758,9,7,3,3,3,9
1,5,3,0,506,419,10,8,4,4,4,8
1,3,8,1,125,350,5,7,3,2,8,9
3,1,1,1,392,523,7,12,3,3,5,8
4,1,4,1,503,688,11,9,2,4,8,4
4,4,6,0,102,697,13,12,2,3,9,9
4,6,6,1,188,620,12,12,3,4,8,6
2,3,8,0,177,121,7,9,3,4,4,9
3,4,5,1,144,351,6,8,3,4,8,8
3,2,3,0,394,712,10,11,3,3,8,4
3,6,3,0,441,265,5,10,2,2,3,4
1,3,7,1,133,645,8,12,3,2,9,7
6,5,5,1,87,202,6,10,2,3,3,9
4,2,3,1,689,245,12,13,4,3,3,9
4,6,1,1,481,405,10,7,4,3,8,7
3,2,5,1,640,410,8,5,4,4,3,6
2,2,4,1,674,408,7,11,3,3,5,6
4,5,7,1,203,661,12,8,2,3,6,4
3,5,8,1,159,500,10,11,4,2,3,5
2,3,2,0,698,751,12,6,2,2,4,6
1,6,4,0,354,251,9,5,3,4,6,7
4,5,5,0,265,743,5,11,4,4,3,3
4,5,5,1,148,536,13,5,2,4,9,3
6,5,8,0,400,259,8,8,3,3,8,6
3,1,3,0,125,216,10,11,2,3,7,8
3,6,3,1,447,283,11,11,2,2,4,7
5,6,2,1,83,585,11,6,2,3,8,6
6,2,8,0,320,664,11,9,2,4,4,6
1,1,4,0,468,89,11,8,4,4,3,6
5,4,2,0,93,116,11,7,3,2,6,6
6,1,3,1,167,484,5,13,3,4,5,3
1,3,7,0,140,647,6,6,4,4,5,3
5,1,8,0,247,275,9,10,4,2,8,8
4,6,3,1,413,353,11,13,3,2,6,9
6,4,6,1,276,232,7,11,2,3,6,5
4,3,3,0,226,639,13,8,2,4,4,8
5,4,1,1,698,654,12,10,4,3,8,7
1,1,3,1,678,793,7,8,4,4,4,4
1,3,7,0,204,613,12,8,2,4,9,3
6,3,6,1,500,745,9,13,4,2,3,7
2,1,7,1,507,657,5,6,3,4,6,9
3,1,1,0,203,822,10,5,2,2,7,9
1,4,5,1,499,554,9,10,4,3,5,5
3,4,6,0,176,841,8,7,3,2,7,3
5,4,2,0,281,218,6,8,4,4,9,8
