tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,player,religiousness,expenditure,school,persons,games,f_other,hammer,n_other,beauty
Anterior,AMNH99.1/100,1.047127937659947,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Abel Aguilar,3,6384.911133,Sunol Glen Unified,1,2,9,G,13,0.2899157
Posterior,AMNH99.1/100,0.4064193308076884,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,G,13,-0.7377322
Premolar,AMNH99.1/100,1.2595064850254087,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Franck Tabanou,1,5501.95459,Thermalito Union Elementary,1,1,4,wood,6,-0.5719836
Anterior,AMNH99.1/101,1.3500897091545032,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Joel Matip,5,7101.831055,Golden Feather Union Elementary,2,1,7,G,10,-0.6779634
Posterior,AMNH99.1/101,-0.02766838761163337,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska, Pedro León,2,5235.987793,Palermo Union Elementary,1,11,3,L,5,1.509794
Premolar,AMNH99.1/101,0.28149131586644816,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Thomas Müller,2,5580.146973,Burrel Union Elementary,4,4,3,Q,5,0.5885687
Anterior,AMNH99.1/102,0.9628516611004382,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,Q,5,-0.126001
Posterior,AMNH99.1/102,0.7512598217060025,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Jonathan Schmid,2,4565.746094,Vineland Elementary,4,1,7,wood,10,-0.2581899
Premolar,AMNH99.1/102,0.8939344222402277,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Gary Caldwell,4,5355.54834,Orange Center Elementary,3,2,4,G,6,0.1496926
Anterior,AMNH99.1/103,0.4954905554677398,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Peniel Mlapa,4,5036.211426,Del Paso Heights Elementary,1,1,3,L,5,0.540917
Posterior,AMNH99.1/103,1.3209456449129389,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Tobias Steffen,2,4547.692383,Le Grand Union Elementary,4,1,3,wood,5,0.2316134
Premolar,AMNH99.1/103,1.2725335035008003,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,G,10,-0.0666737
Anterior,AMNH99.1/104,0.9334012443228907,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska, Bodipo,5,6567.149414,Allensworth Elementary,3,1,9,G,13,0.2168924
Posterior,AMNH99.1/104,1.4390352945791551,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska,Stilian Petrov,2,4818.612793,Sunnyside Union Elementary,3,1,4,G,6,-0.2586962
Premolar,AMNH99.1/104,1.124693425663887,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska,Andrey Arshavin,4,5621.456055,Woodville Elementary,1,4,7,G,10,0.5502878
Anterior,AMNH99.1/105,0.4925133212726527,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Abdou Dampha,1,6026.359863,Pixley Union Elementary,1,1,3,G,5,-0.0620358
Posterior,AMNH99.1/105,1.0776380211780707,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Adam Johnson,2,6723.237793,Lost Hills Union Elementary,4,1,3,G,5,-0.9823852
Premolar,AMNH99.1/105,0.4450616946926987,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska,Gary Gardner,3,5589.885254,Buttonwillow Union Elementary,3,1,4,G,6,-0.054344
Anterior,AMNH99.1/107,1.3204941077165306,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska,Tomáš Rosický,2,5064.615723,Lennox Elementary,2,3,3,G,5,-0.0680143
