chimpanzee,age,sex,hammer,nuts_opened,seconds,help
18,16,m,G,17,52.95771253844405,N
20,3,m,G,70,63.8043239789706,N
9,5,m,G,10,88.11587822510883,N
2,13,f,G,26,60.080971209343986,N
11,6,m,G,20,83.18891889834178,N
2,12,m,G,37,57.00926837393295,N
20,8,m,G,54,78.34484692947349,N
14,14,m,G,48,83.32694315290192,N
12,15,m,L,61,80.81058661009499,N
20,14,f,wood,70,41.00680833261481,N
17,5,m,G,77,90.25356941738778,y
1,8,m,G,7,54.629083765915226,N
9,9,m,G,9,88.0016734467538,N
2,13,m,wood,6,69.7084578982585,N
5,11,f,G,27,81.52350689601008,N
2,5,m,G,22,53.066836953615045,N
21,13,f,G,26,91.63801335310262,N
16,10,m,G,66,62.23129524884895,N
18,3,m,G,62,38.70889581958066,N
22,6,f,L,5,76.91279960598487,N
20,4,m,G,64,66.41335287205534,N
22,14,m,G,39,46.67209762754668,N
10,8,m,G,16,58.613261107109096,y
14,9,m,G,33,63.871457709908135,N
6,8,m,G,60,50.72546266392813,N
13,11,f,G,35,37.922973846530404,N
1,10,m,G,11,64.67569503397675,N
20,3,m,G,13,60.861927735806326,N
11,5,m,G,22,78.92818411398977,N
14,14,f,G,38,72.48077611093075,N
10,9,f,G,14,85.97322224557826,N
19,13,m,G,29,92.99349259225411,N
21,6,f,G,71,44.250522530479465,N
13,10,m,G,40,65.67148674438593,y
22,13,m,L,8,44.92237309711006,N
5,10,f,G,5,81.59362263251049,N
1,9,f,wood,19,27.438094783860834,N
18,6,m,G,38,37.603970136001685,y
15,11,m,Q,15,73.78793130287157,N
2,4,m,G,61,91.47993056404677,N
13,9,m,G,72,57.13288729770255,N
15,12,f,G,45,61.229423345958736,N
11,3,m,G,63,61.26762787489288,N
2,11,f,G,56,68.66430389303842,y
8,9,m,G,33,87.69088335158014,N
18,3,m,G,34,76.14976476746713,N
7,15,m,G,74,66.89063550575673,N
1,8,m,G,62,68.60875453365891,N
18,16,m,G,43,51.20860068625987,N
12,6,m,G,64,83.96115271127363,N
3,8,m,G,75,47.752748411915704,N
22,5,m,G,6,52.10968545687051,N
6,5,m,G,76,53.97467697960779,y
9,12,f,wood,20,50.73915658589191,N
18,9,m,G,47,53.37871773819439,N
16,9,m,G,59,65.43756456265639,N
12,15,m,G,20,86.42452737053938,N
1,3,m,G,28,32.14483502346438,N
22,7,m,G,4,78.64437481846076,N
11,8,m,G,6,55.63749523516034,N
4,8,f,G,53,95.28970376891088,y
20,6,m,G,33,109.1306805291149,N
22,12,m,Q,30,98.53426779511729,N
4,6,m,G,72,67.22865513696605,y
1,5,f,G,16,62.96310012648232,y
5,7,m,G,41,63.06919489003341,y
15,11,f,G,52,63.332688469143044,N
16,10,m,G,19,56.844407328667415,N
1,9,m,G,56,69.55783999163684,y
20,4,m,G,1,62.49280898859884,N
13,11,m,G,77,42.42020768031787,N
7,7,f,G,75,65.32337609493578,N
22,3,m,G,28,56.14175692665624,N
16,14,m,G,28,34.21696173688514,N
9,9,m,G,1,93.42677404094945,N
20,3,m,G,51,40.82153255339729,N
19,11,m,G,10,90.093240836034,N
22,4,f,G,61,40.03750481484599,N
19,3,f,G,25,58.46680677927095,N
21,6,m,G,5,56.042814488304444,N
14,4,m,G,56,125.98158536487458,N
16,4,m,G,42,57.775211750598,N
12,6,m,L,43,67.7965037204145,N
19,14,m,wood,16,87.42193338293576,N
