focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
2,6,7,1,674,502,11,5,3,2,8,6
6,1,1,1,688,398,13,5,4,3,8,9
1,3,3,1,697,595,12,10,4,3,3,3
2,3,7,0,402,427,11,8,4,4,7,8
4,3,7,1,482,776,6,10,3,4,3,9
1,1,6,1,502,703,11,7,4,4,6,5
1,2,3,1,745,620,7,9,4,3,9,8
2,5,6,0,294,407,6,11,3,3,4,5
2,3,4,1,254,97,9,10,3,3,9,6
2,2,8,0,378,811,5,12,4,3,3,8
5,6,7,1,554,287,13,11,4,3,8,5
3,6,4,0,350,69,13,6,4,3,7,5
1,1,4,1,324,138,5,5,4,2,8,4
6,5,6,0,293,98,11,13,4,3,5,3
2,5,3,1,157,847,7,11,3,2,4,3
1,1,7,1,298,770,9,12,4,2,7,6
2,5,5,0,74,824,7,11,4,4,7,9
5,3,1,1,612,148,7,7,3,4,8,6
1,5,2,0,539,305,12,10,3,3,7,4
1,4,7,0,199,72,13,11,2,2,7,6
5,3,8,1,134,421,12,6,2,2,3,8
5,3,8,0,113,127,12,8,4,2,7,4
1,2,7,1,331,830,7,13,4,4,7,8
2,6,6,1,152,166,6,10,2,3,4,7
2,2,2,1,163,447,5,13,4,3,5,6
2,5,4,1,248,345,7,9,4,2,9,9
5,4,6,0,225,639,13,12,4,3,3,6
5,4,7,0,442,96,9,5,3,4,4,5
1,4,1,1,103,835,11,11,3,3,5,7
4,3,3,1,616,733,9,10,3,4,7,5
3,6,5,0,452,171,12,10,4,3,7,4
5,6,3,1,198,472,13,11,3,4,5,7
6,2,5,1,288,417,12,5,3,2,4,5
3,6,6,1,220,307,7,6,4,3,4,4
1,2,4,1,581,73,12,7,2,2,7,3
3,2,5,1,257,100,6,7,2,3,5,8
3,6,6,0,433,752,6,5,4,3,6,4
2,3,4,1,459,192,13,6,3,2,3,8
4,5,7,1,452,232,9,13,2,4,9,7
4,5,3,0,128,524,11,9,2,4,6,9
2,3,4,1,390,608,6,9,3,2,6,4
2,5,5,0,284,470,9,5,3,2,4,8
1,2,6,1,112,646,5,7,4,2,5,6
5,6,6,1,96,118,12,6,3,3,9,6
4,2,1,0,428,462,7,10,2,3,7,8
1,4,1,0,498,641,8,5,4,2,6,9
4,3,7,0,548,808,5,9,4,4,9,9
1,6,2,0,270,524,10,10,2,4,7,4
1,1,2,0,539,655,10,11,2,3,6,9
3,5,4,1,76,662,12,7,3,3,7,7
3,5,8,1,337,330,9,13,4,4,5,6
6,2,8,0,166,318,13,11,2,4,7,8
1,5,4,0,287,428,10,13,3,3,9,7
4,6,2,1,553,458,9,7,4,4,7,4
3,3,3,0,107,737,11,8,2,3,4,9
5,5,3,1,606,464,11,7,3,4,8,8
2,4,5,0,541,162,13,12,4,4,6,9
3,5,6,1,616,754,13,8,2,2,7,6
