feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,0.30471707975443135,male,37.0,10.0,no,3,18,7,4
5,-1.0399841062404955,female,27.0,4.0,no,4,14,6,4
11,0.7504511958064572,female,32.0,15.0,yes,1,12,1,4
16,0.9405647163912139,male,57.0,15.0,yes,5,18,6,5
23,-1.9510351886538364,male,22.0,0.75,no,2,17,6,3
29,-1.302179506862318,female,32.0,1.5,no,2,17,5,5
44,0.12784040316728537,female,22.0,0.75,no,2,12,1,3
45,-0.3162425923435822,male,57.0,15.0,yes,2,14,4,4
47,-0.016801157504288795,female,32.0,15.0,yes,4,16,1,2
49,-0.85304392757358,male,22.0,1.5,no,4,14,4,5
50,0.8793979748628286,male,37.0,15.0,yes,2,20,7,2
55,0.7777919354289483,male,27.0,4.0,yes,4,18,6,4
64,0.06603069756121605,male,47.0,15.0,yes,5,17,6,4
80,1.1272412069680329,female,22.0,1.5,no,2,17,5,4
86,0.4675093422520456,female,27.0,4.0,no,4,14,5,4
93,-0.8592924628832382,female,37.0,15.0,yes,1,17,5,5
108,0.36875078408249884,female,37.0,15.0,yes,2,18,4,3
114,-0.9588826008289989,female,22.0,0.75,no,3,16,5,4
115,0.8784503013072725,female,22.0,1.5,no,2,16,5,5
116,-0.049925910986252896,female,27.0,10.0,yes,2,14,1,5
123,-0.18486236354526056,female,22.0,1.5,no,2,16,5,5
127,-0.6809295444039414,female,22.0,1.5,no,2,16,5,5
129,1.2225413386740303,female,27.0,10.0,yes,4,16,5,4
134,-0.15452948206880215,female,32.0,10.0,yes,3,14,1,5
137,-0.4283278221631072,male,37.0,4.0,yes,2,20,6,4
139,-0.3521335504882296,female,22.0,1.5,no,2,18,5,5
147,0.5323091855533487,female,27.0,7.0,no,4,16,1,5
151,0.36544406436407834,male,42.0,15.0,yes,5,20,6,4
153,0.4127326115959884,male,27.0,4.0,yes,3,16,5,5
155,0.43082100300788273,female,27.0,4.0,yes,3,17,5,4
162,2.1416476008704612,male,42.0,15.0,yes,4,20,6,3
163,-0.4064150163846156,female,22.0,1.5,no,3,16,5,5
165,-0.5122427290715373,male,27.0,0.417,no,4,17,6,4
168,-0.8137727282478777,female,42.0,15.0,yes,5,14,5,4
170,0.6159794225754956,male,32.0,4.0,yes,1,18,6,4
172,1.1289722927208916,female,22.0,1.5,no,4,16,5,3
184,-0.11394745765487507,female,42.0,15.0,yes,3,12,1,4
187,-0.840156476962528,female,22.0,4.0,no,4,17,5,5
192,-0.8244812156912396,male,22.0,1.5,yes,1,14,3,5
194,0.6505927878247011,female,22.0,0.75,no,3,16,1,5
210,0.7432541712034423,male,32.0,10.0,yes,5,20,6,5
217,0.543154268305195,male,52.0,15.0,yes,5,18,6,3
220,-0.6655097072886943,female,22.0,0.417,no,5,14,1,4
224,0.23216132306671977,female,27.0,4.0,yes,2,18,6,1
227,0.11668580914072822,female,32.0,7.0,yes,5,17,5,3
228,0.21868859672901295,male,22.0,4.0,no,3,16,5,5
239,0.8714287779481898,female,27.0,7.0,yes,4,18,6,5
241,0.22359554877468227,female,42.0,15.0,yes,2,18,5,4
245,0.6789135630718949,male,27.0,1.5,yes,4,16,3,5
249,0.06757906948889146,male,42.0,15.0,yes,2,20,6,4
262,0.28911939868998415,female,22.0,0.75,no,5,14,3,5
265,0.6312882258385404,male,32.0,7.0,yes,2,20,6,4
267,-1.4571558198556664,male,27.0,4.0,yes,5,20,6,5
269,-0.31967121635730134,male,27.0,10.0,yes,4,20,6,4
271,-0.4703726542927955,male,22.0,4.0,no,1,18,5,5
277,-0.6388778482433419,female,37.0,15.0,yes,4,14,3,1
290,-0.27514225122668373,male,22.0,1.5,yes,5,16,4,4
292,1.4949413112343959,female,37.0,15.0,yes,4,17,1,5
293,-0.8658311156932432,female,27.0,0.75,no,4,17,5,4
295,0.9682783545914808,male,32.0,10.0,yes,4,20,6,4
299,-1.6828697716158048,female,47.0,15.0,yes,5,14,7,2
320,-0.33488502998577485,male,37.0,10.0,yes,3,20,6,4
321,0.1627530651050056,female,22.0,0.75,no,2,16,5,5
324,0.5862223313592781,male,27.0,4.0,no,2,18,4,5
334,0.711226579792855,male,32.0,7.0,no,4,20,6,4
351,0.7933472351999252,male,42.0,15.0,yes,2,17,3,5
355,-0.3487250722484376,male,37.0,10.0,yes,4,20,6,4
361,-0.46235179266456716,female,47.0,15.0,yes,3,17,6,5
362,0.8579758812571538,female,22.0,1.5,no,5,16,5,5
366,-0.1913043248816149,female,27.0,1.5,no,2,16,6,4
370,-1.2756863233379219,female,27.0,4.0,no,3,17,5,5
374,-1.1332872140034806,female,32.0,10.0,yes,5,14,4,5
378,-0.9194522860016113,female,22.0,0.125,no,2,12,5,5
381,0.49716074405376404,male,47.0,15.0,yes,4,14,4,3
382,0.14242573607056525,male,32.0,15.0,yes,1,14,5,5
383,0.6904853540677682,male,27.0,7.0,yes,4,16,5,5
384,-0.42725264633653426,female,22.0,1.5,yes,3,16,5,5
400,0.15853969107671423,male,27.0,4.0,yes,3,17,6,5
403,0.6255903939673367,female,22.0,1.5,no,3,16,5,5
409,-0.3093465397202384,male,57.0,15.0,yes,2,14,7,2
412,0.45677523755741145,male,17.5,1.5,yes,3,18,6,5
413,-0.6619259410666513,male,57.0,15.0,yes,4,20,6,5
416,-0.3630538465650718,female,22.0,0.75,no,2,16,3,4
418,-0.3817378939983291,male,42.0,4.0,no,4,17,3,3
422,-1.1958396455890397,female,22.0,1.5,yes,4,12,1,5
435,0.4869724807855818,female,22.0,0.417,no,1,17,6,4
439,-0.46940234020272387,female,32.0,15.0,yes,4,17,5,5
445,0.01249411872768743,female,27.0,1.5,no,3,18,5,2
447,0.48074665890590895,female,22.0,1.5,yes,3,14,1,5
448,0.4465311760299441,female,37.0,15.0,yes,3,14,1,4
449,0.6653851089727862,female,32.0,15.0,yes,4,14,3,4
478,-0.09848548450942361,male,37.0,10.0,yes,2,14,5,3
482,-0.42329831204415375,male,37.0,10.0,yes,4,16,5,4
486,-0.07971821090639905,male,57.0,15.0,yes,5,20,5,3
489,-1.6873344339580298,male,27.0,0.417,no,1,16,3,4
490,-1.4471124724230873,female,42.0,15.0,yes,5,14,1,5
491,-1.3226996123544024,male,57.0,15.0,yes,3,16,6,1
492,-0.9972468276014818,male,37.0,10.0,yes,1,16,6,4
503,0.3997742267234366,male,37.0,15.0,yes,3,17,5,5
508,-0.9054790553600608,male,37.0,15.0,yes,4,20,6,5
509,-0.3781625540393897,female,27.0,10.0,yes,5,14,1,5
512,1.2992282977860654,male,37.0,10.0,yes,2,18,6,4
515,-0.35626397106142593,female,22.0,0.125,no,4,12,4,5
517,0.7375155684670865,male,57.0,15.0,yes,5,20,6,5
532,-0.933617680009877,female,37.0,15.0,yes,4,18,6,4
533,-0.20543755786763002,male,22.0,4.0,yes,4,14,6,4
535,-0.9500220549105812,male,27.0,7.0,yes,4,18,5,4
537,-0.3390330759005625,male,57.0,15.0,yes,4,20,5,4
538,0.8403081374573955,male,32.0,15.0,yes,3,14,6,3
543,-1.7273204231923487,female,22.0,1.5,no,2,14,5,4
547,0.43442364354585733,female,32.0,7.0,yes,4,17,1,5
550,0.2377356023322779,female,37.0,15.0,yes,4,17,6,5
558,-0.5941499556967944,female,32.0,1.5,no,5,18,5,5
571,-1.4460578543884546,male,42.0,10.0,yes,5,20,7,4
578,0.07212950771386951,female,27.0,7.0,no,3,16,5,4
583,-0.5294927090638024,male,37.0,15.0,no,4,20,6,5
586,0.23267621135470395,male,37.0,15.0,yes,4,14,3,2
594,0.02185214552344288,male,32.0,10.0,no,5,18,6,4
597,1.6017788913209154,female,22.0,0.75,no,4,16,1,5
602,-0.23935562747302427,female,27.0,7.0,yes,4,12,2,4
603,-1.023497492621865,female,27.0,7.0,yes,2,16,2,5
604,0.17927563495631615,female,42.0,15.0,yes,5,18,5,4
612,0.21999668397176517,male,42.0,15.0,yes,4,17,5,3
613,1.3591875752404365,female,27.0,7.0,yes,2,16,1,2
621,0.8351112459145785,female,22.0,1.5,no,3,16,5,5
627,0.35687105914950934,male,37.0,15.0,yes,5,20,6,5
630,1.4633028912195618,female,22.0,0.125,no,2,14,4,5
631,-1.188763054322851,male,27.0,1.5,no,4,16,5,5
632,-0.6397515327497477,male,32.0,1.5,no,2,18,6,5
639,-0.9265759414055249,male,27.0,1.5,no,2,17,6,5
645,-0.38980980315576796,female,27.0,10.0,yes,4,16,1,3
647,-1.3766861475563088,male,42.0,15.0,yes,4,18,6,5
648,0.6351509468144043,female,27.0,1.5,no,2,16,6,5
651,-0.22222269709877338,male,27.0,4.0,no,2,18,6,3
655,-1.4708062945026579,female,32.0,10.0,yes,3,14,5,3
667,-1.0155790812075416,female,32.0,15.0,yes,3,18,5,4
670,0.3135138474501953,female,22.0,0.75,no,2,18,6,5
671,0.8381265678943811,female,37.0,15.0,yes,2,16,1,4
673,1.9967308916917865,male,27.0,4.0,yes,4,20,5,5
701,2.9138624660073296,male,27.0,4.0,no,1,20,5,4
705,0.4144094332759964,female,27.0,10.0,yes,2,12,1,4
706,-0.9895381200318641,female,32.0,15.0,yes,5,18,6,4
709,-2.132046280731309,male,27.0,7.0,yes,5,12,5,3
717,0.2677114623438358,male,52.0,15.0,yes,2,18,5,4
719,-0.812941095310326,male,27.0,4.0,no,3,20,6,3
723,-0.41535726017968533,male,37.0,4.0,yes,1,18,5,4
724,-0.6120967990598081,male,27.0,4.0,yes,4,14,5,4
726,-0.14079088641638526,female,52.0,15.0,yes,5,12,1,3
734,1.0659802307876436,female,57.0,15.0,yes,4,16,6,4
735,0.15704856744534462,male,27.0,7.0,yes,1,16,5,4
736,-0.1586348370386883,male,37.0,7.0,yes,4,20,6,3
737,-1.0356537528258116,male,22.0,0.75,no,2,14,4,3
739,-1.674682944704357,male,32.0,4.0,yes,2,18,5,3
743,-0.4863079090733309,male,37.0,15.0,yes,4,20,6,3
745,-0.05378255081832049,male,22.0,0.75,yes,2,14,4,3
747,1.767929913579883,male,42.0,15.0,yes,4,20,6,3
751,0.13027452147288585,female,52.0,15.0,yes,5,17,1,1
752,0.9827395110230576,female,37.0,15.0,yes,4,14,1,2
754,-0.49929559853915206,male,27.0,7.0,yes,4,14,5,3
760,-1.1849437664170246,male,32.0,4.0,yes,2,16,5,5
763,-0.9651167622323719,female,27.0,4.0,yes,2,18,6,5
774,-0.7252260645357532,female,27.0,4.0,yes,2,18,5,5
776,2.1284697324351645,male,37.0,15.0,yes,5,18,6,5
779,-0.8213866792243861,female,47.0,15.0,yes,5,12,5,4
784,0.838489203736345,female,32.0,10.0,yes,3,17,1,4
788,-0.9029271780870264,female,27.0,1.5,yes,4,17,1,2
794,0.9315730128742441,female,57.0,15.0,yes,2,18,5,2
795,0.38495096610586316,female,22.0,1.5,no,4,14,5,4
798,-0.1566378976580904,male,42.0,15.0,yes,3,14,3,4
800,-0.040762526135434025,male,57.0,15.0,yes,4,9,2,2
803,-0.6547876954293904,male,57.0,15.0,yes,4,20,6,5
807,0.44607220148208054,female,22.0,0.125,no,4,14,4,5
812,-0.45498348034078,female,32.0,10.0,yes,4,14,1,5
820,-1.2256057637672482,female,42.0,15.0,yes,3,18,5,4
823,-1.2779375743196193,female,27.0,1.5,no,2,18,6,5
830,0.17258791772211948,male,32.0,0.125,yes,2,18,5,2
843,1.579091256410435,female,27.0,4.0,no,3,16,5,4
848,0.15999161357343825,female,27.0,10.0,yes,2,16,1,4
851,-0.11863832610988256,female,32.0,7.0,yes,4,16,1,3
854,0.2858261396025429,female,37.0,15.0,yes,4,14,5,4
856,1.3060017417068248,female,42.0,15.0,yes,5,17,6,2
857,0.21938250136385634,male,32.0,1.5,yes,4,14,6,5
859,-0.41092723083373717,female,32.0,4.0,yes,3,17,5,3
863,1.1062887100598888,female,37.0,7.0,no,4,18,5,5
865,0.4287564384616135,female,22.0,0.417,yes,3,14,3,5
867,1.535755991995992,female,27.0,7.0,yes,4,14,1,5
870,0.18323443722190613,male,27.0,0.75,no,3,16,5,5
873,-1.2244690317205003,male,27.0,4.0,yes,2,20,5,5
875,-1.368159199245665,male,32.0,10.0,yes,4,16,4,5
876,1.6509279322312496,male,32.0,15.0,yes,1,14,5,5
877,1.723665720783297,male,22.0,0.75,no,3,17,4,5
880,-0.17951921328260065,female,27.0,7.0,yes,4,17,1,4
903,-0.38318732113598775,male,27.0,0.417,yes,4,20,5,4
904,1.4614442922422022,male,37.0,15.0,yes,4,20,5,4
905,-1.107045682043488,female,37.0,15.0,yes,2,14,1,3
908,-0.8947270189558264,male,22.0,4.0,yes,1,18,5,4
909,0.6433267946890444,male,37.0,15.0,yes,4,17,5,3
910,-0.3946051228595896,female,22.0,1.5,no,2,14,4,5
912,-0.005121866720071296,male,52.0,15.0,yes,4,14,6,2
914,-0.16344289852451258,female,22.0,1.5,no,4,17,5,5
915,0.33757454879893356,male,32.0,4.0,yes,5,14,3,5
916,1.4074818613137168,male,32.0,4.0,yes,2,14,3,5
920,0.09058490690174555,female,22.0,1.5,no,3,16,6,5
921,0.6439387932768579,male,27.0,0.75,no,2,18,3,3
925,-2.0501721010310225,female,22.0,7.0,yes,2,14,5,2
926,-0.04871840193011795,female,27.0,0.75,no,2,17,5,3
929,-0.8432302702928711,female,37.0,15.0,yes,4,12,1,2
931,-1.218813060423628,female,22.0,1.5,no,1,14,1,5
945,-0.8781523669287508,female,37.0,10.0,no,2,12,4,4
947,-0.33412344070081207,female,37.0,15.0,yes,4,18,5,3
949,0.9159025423560131,female,42.0,15.0,yes,3,12,3,3
950,-1.326392717739564,male,22.0,4.0,no,2,18,5,5
961,0.030631492594417446,male,52.0,7.0,yes,2,20,6,2
965,-0.4841694333335785,male,27.0,0.75,no,2,17,5,5
966,-0.32767309436196085,female,27.0,4.0,no,2,17,4,5
967,1.0027578253046041,male,42.0,1.5,no,5,20,6,5
987,0.5381154370039261,male,22.0,1.5,no,4,17,6,5
990,1.3373981074427437,male,22.0,4.0,no,4,17,5,3
992,-0.15450567924990047,female,22.0,4.0,yes,1,14,5,4
995,-0.695942611670703,male,37.0,15.0,yes,5,20,4,5
1009,-0.22385881688049952,female,37.0,10.0,yes,3,16,6,3
1021,0.2424967912712216,male,42.0,15.0,yes,4,17,6,5
1026,0.17657335845371103,female,47.0,15.0,yes,4,17,5,5
1027,-1.0843880722333665,male,22.0,1.5,no,4,16,5,4
1030,0.09048978162787422,female,32.0,10.0,yes,3,12,1,4
1031,0.22822833013890514,female,22.0,7.0,yes,1,14,3,5
1034,2.5174740375339204,female,32.0,10.0,yes,4,17,5,4
1037,1.8768446112816701,male,27.0,1.5,yes,2,16,2,4
1038,-0.8532433505588201,male,37.0,15.0,yes,4,14,5,5
1039,-0.2873833615491761,male,42.0,4.0,yes,3,14,4,5
1045,-1.4634420018370031,female,37.0,15.0,yes,5,14,5,4
1046,-0.5907070139634865,female,32.0,7.0,yes,4,17,5,5
1054,0.3156050035903405,female,42.0,15.0,yes,4,18,6,5
1059,1.2058536208882336,male,27.0,4.0,no,4,18,6,4
1063,-0.7290838377436085,male,22.0,0.75,no,4,18,6,5
1068,-0.6541464400677965,male,27.0,4.0,yes,4,14,5,3
1070,-2.147289029738655,female,22.0,0.75,no,5,18,1,5
1072,-0.16266592054490767,female,52.0,15.0,yes,5,9,5,5
1073,-1.062414411859563,male,32.0,10.0,yes,3,14,5,5
1077,-0.5294394273660737,female,37.0,15.0,yes,4,16,4,4
1081,-0.8768607781675882,male,32.0,7.0,yes,2,20,5,4
1083,-0.09426255425255699,female,42.0,15.0,yes,3,18,1,4
1084,-1.7577283913566313,male,32.0,15.0,yes,1,16,5,5
1086,-1.4670452453909906,male,27.0,4.0,yes,3,18,5,5
1087,2.129247112028298,female,32.0,15.0,yes,4,12,3,4
1089,-1.287422581274031,male,22.0,0.75,yes,3,14,2,4
1096,-1.0967855784546396,female,22.0,1.5,no,3,16,5,3
1102,1.836913528321314,female,42.0,15.0,yes,4,14,3,5
1103,2.905067169240407,female,52.0,15.0,yes,3,16,5,4
1107,-1.1715666288253417,male,37.0,15.0,yes,5,20,6,4
1109,-0.36824895678803055,female,47.0,15.0,yes,4,12,2,3
1115,0.34155555094050954,male,57.0,15.0,yes,2,20,6,4
1119,1.7286976444055924,male,32.0,7.0,yes,4,17,5,5
1124,-0.9868570784282374,female,27.0,7.0,yes,4,17,1,4
1126,-0.24527784594210975,male,22.0,1.5,no,1,18,6,5
1128,0.777337576061744,female,22.0,4.0,yes,3,9,1,4
1129,0.43476607446661863,female,22.0,1.5,no,2,14,1,5
1130,-0.37615607123009925,male,42.0,15.0,yes,2,20,6,4
1133,-0.13382296451604114,male,57.0,15.0,yes,4,9,2,4
1140,-1.3748958083699818,female,27.0,7.0,yes,2,18,1,5
1143,-0.23817374397466523,female,22.0,4.0,yes,3,14,1,5
1146,-0.2663874900089551,male,37.0,15.0,yes,4,14,5,3
1153,0.23216988962625595,male,32.0,7.0,yes,1,18,6,4
1156,-0.555327218819016,female,22.0,1.5,no,2,14,5,5
1157,0.471538522545139,female,22.0,1.5,yes,3,12,1,3
1158,1.0127158178198286,male,52.0,15.0,yes,2,14,5,5
1160,0.15542932766846604,female,37.0,15.0,yes,2,14,1,1
1161,0.35175640839920347,female,32.0,10.0,yes,2,14,5,5
1166,0.053155347577867364,male,42.0,15.0,yes,4,20,4,5
1177,8.439309141418043e-05,female,27.0,4.0,yes,3,18,4,5
1178,-0.7215580335428474,male,37.0,15.0,yes,4,20,6,5
1180,0.316494261673308,male,27.0,1.5,no,3,18,5,5
1187,-0.09728659841348947,female,22.0,0.125,no,2,16,6,3
1191,2.093168308930595,male,32.0,10.0,yes,2,20,6,3
1195,1.5733549024752425,female,27.0,4.0,no,4,18,5,4
1207,0.3858465525565008,female,27.0,7.0,yes,2,12,5,1
1208,-0.7630572096947675,male,32.0,4.0,yes,5,18,6,3
1209,-1.112411471983418,female,37.0,15.0,yes,2,17,5,5
1211,1.191142953088865,male,47.0,15.0,no,4,20,6,4
1215,0.2627492251471385,male,27.0,1.5,no,1,18,5,5
1221,0.4801434033916108,male,37.0,15.0,yes,4,20,6,4
1226,-1.7445859869741926,female,32.0,15.0,yes,4,18,1,4
1229,0.9274384815581808,female,32.0,7.0,yes,4,17,5,4
1231,0.45442033821436295,female,42.0,15.0,yes,3,14,1,3
1234,-1.110430684414478,female,27.0,7.0,yes,3,16,1,4
1235,-0.47152480744994896,male,27.0,1.5,no,3,16,4,2
