feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,2.385907391959274,male,37.0,10.0,no,3,18,7,4
5,-4.117133263422547,female,27.0,4.0,no,4,14,6,4
11,5.301311683160906,female,32.0,15.0,yes,1,12,1,4
16,6.220709960173435,male,57.0,15.0,yes,5,18,6,5
23,-8.523020823996113,male,22.0,0.75,no,2,17,6,3
29,-5.385123035169702,female,32.0,1.5,no,2,17,5,5
44,1.5305231394467074,female,22.0,0.75,no,2,12,1,3
45,0.14272839088059364,male,57.0,15.0,yes,2,14,4,4
47,1.5908418044379888,female,32.0,15.0,yes,4,16,1,2
49,-3.2130814230162135,male,22.0,1.5,no,4,14,4,5
50,5.9249046087250266,male,37.0,15.0,yes,2,20,7,2
55,5.433532836205934,male,27.0,4.0,yes,4,18,6,4
64,1.9914207037963068,male,47.0,15.0,yes,5,17,6,4
80,6.363674270587341,female,22.0,1.5,no,2,17,5,4
86,3.1731787295838463,female,27.0,4.0,no,4,14,5,4
93,-2.4834873236584887,female,37.0,15.0,yes,1,17,5,5
108,3.455389837126149,female,37.0,15.0,yes,2,18,4,3
114,-3.724922419558815,female,22.0,0.75,no,3,16,5,4
115,5.160509291593048,female,22.0,1.5,no,2,16,5,5
116,1.430648877685022,female,27.0,10.0,yes,2,14,1,5
123,0.018277276825942823,female,22.0,1.5,no,2,16,5,5
127,-2.380727854219445,female,22.0,1.5,no,2,16,5,5
129,7.584362686645647,female,27.0,10.0,yes,4,16,5,4
134,0.9247808956138688,female,32.0,10.0,yes,3,14,1,5
137,-0.3993212584955139,male,37.0,4.0,yes,2,20,6,4
139,-0.7906543583159362,female,22.0,1.5,no,2,18,5,5
147,3.4865539387675577,female,27.0,7.0,no,4,16,1,5
151,3.439398378957745,male,42.0,15.0,yes,5,20,6,4
153,3.668088104516011,male,27.0,4.0,yes,3,16,5,5
155,3.755564449422315,female,27.0,4.0,yes,3,17,5,4
162,12.029205490333009,male,42.0,15.0,yes,4,20,6,3
163,-1.0531621803022342,female,22.0,1.5,no,3,16,5,5
165,-1.564950170999905,male,27.0,0.417,no,4,17,6,4
168,-2.263351662264747,female,42.0,15.0,yes,5,14,5,4
170,4.650999615744072,male,32.0,4.0,yes,1,18,6,4
172,6.372045885891943,female,22.0,1.5,no,4,16,5,3
184,1.121037549054837,female,42.0,15.0,yes,3,12,1,4
187,-3.1507570820096364,female,22.0,4.0,no,4,17,5,5
192,-2.315138430899374,male,22.0,1.5,yes,1,14,3,5
194,4.058579220255277,female,22.0,0.75,no,3,16,1,5
210,5.26650652043878,male,32.0,10.0,yes,5,20,6,5
217,4.2988136104913,male,52.0,15.0,yes,5,18,6,3
220,-2.306156768312635,female,22.0,0.417,no,5,14,1,4
224,2.7948365280836653,female,27.0,4.0,yes,2,18,6,1
227,2.2363912990745005,female,32.0,7.0,yes,5,17,5,3
228,1.9698694435572328,male,22.0,4.0,no,3,16,5,5
239,5.886365182965322,female,27.0,7.0,yes,4,18,6,5
241,2.7534120249701877,female,42.0,15.0,yes,2,18,5,4
245,4.955352194980319,male,27.0,1.5,yes,4,16,3,5
249,1.9989087061125055,male,42.0,15.0,yes,2,20,6,4
262,2.310476244022321,female,22.0,0.75,no,5,14,3,5
265,4.725033736515048,male,32.0,7.0,yes,2,20,6,4
267,-5.374783737499402,male,27.0,4.0,yes,5,20,6,5
269,0.1261473975822669,male,27.0,10.0,yes,4,20,6,4
271,-1.3624644430434918,male,22.0,4.0,no,1,18,5,5
277,-1.4175514748825133,female,37.0,15.0,yes,4,14,3,1
290,0.3414916492289506,male,22.0,1.5,yes,5,16,4,4
292,8.90170226701814,female,37.0,15.0,yes,4,17,1,5
293,-3.274920889714281,female,27.0,0.75,no,4,17,5,4
295,6.354734468965352,male,32.0,10.0,yes,4,20,6,4
299,-6.466347439584667,female,47.0,15.0,yes,5,14,7,2
320,0.052572651326529884,male,37.0,10.0,yes,3,20,6,4
321,1.6993624788725987,female,22.0,0.75,no,2,16,5,5
324,3.74728054679541,male,27.0,4.0,no,2,18,4,5
334,4.351807201583432,male,32.0,7.0,no,4,20,6,4
351,5.508759026136355,male,42.0,15.0,yes,2,17,3,5
355,-0.014358469463481738,male,37.0,10.0,yes,4,20,6,4
361,-0.5638628427024162,female,47.0,15.0,yes,3,17,6,5
362,5.061493995579328,female,22.0,1.5,no,5,16,5,5
366,-0.01287636303622064,female,27.0,1.5,no,2,16,6,4
370,-5.257000704837877,female,27.0,4.0,no,3,17,5,5
374,-3.8085393310885483,female,32.0,10.0,yes,5,14,4,5
378,-3.5342354899661363,female,22.0,0.125,no,2,12,5,5
381,4.076386679358606,male,47.0,15.0,yes,4,14,4,3
382,2.360870843700944,male,32.0,15.0,yes,1,14,5,5
383,5.011313941787337,male,27.0,7.0,yes,4,16,5,5
384,-0.39412165565087554,female,22.0,1.5,yes,3,16,5,5
400,2.4387987176519497,male,27.0,4.0,yes,3,17,6,5
403,3.9376664216129456,female,22.0,1.5,no,3,16,5,5
409,0.17607803839955283,male,57.0,15.0,yes,2,14,7,2
412,3.881080396171497,male,17.5,1.5,yes,3,18,6,5
413,-1.5290131782111218,male,57.0,15.0,yes,4,20,6,5
416,-0.8434654438538496,female,22.0,0.75,no,2,16,3,4
418,-0.9338224103911075,male,42.0,4.0,no,4,17,3,3
422,-4.111045947376619,female,22.0,1.5,yes,4,12,1,5
435,3.267303418758763,female,22.0,0.417,no,1,17,6,4
439,-0.5979596351800787,female,32.0,15.0,yes,4,17,5,5
445,0.9727028705496062,female,27.0,1.5,no,3,18,5,2
447,3.9970073613739765,female,22.0,1.5,yes,3,14,1,5
448,3.831539613964137,female,37.0,15.0,yes,3,14,1,4
449,4.8899279297775795,female,32.0,15.0,yes,4,14,3,4
478,1.1958124068630402,male,37.0,10.0,yes,2,14,5,3
482,-0.3749983017517753,male,37.0,10.0,yes,4,16,5,4
486,1.2865718592248254,male,57.0,15.0,yes,5,20,5,3
489,-7.247751086375633,male,27.0,0.417,no,1,16,3,4
490,-5.32621361846447,female,42.0,15.0,yes,5,14,1,5
491,-4.724546946712134,male,57.0,15.0,yes,3,16,6,1
