feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,4.214026886982589,male,37.0,10.0,no,3,18,7,4
5,-10.356413387348715,female,27.0,4.0,no,4,14,6,4
11,9.803568209847747,female,32.0,15.0,yes,1,12,1,4
16,11.86353344664014,male,57.0,15.0,yes,5,18,6,5
23,-20.228060353545818,male,22.0,0.75,no,2,17,6,3
29,-13.197418113717006,female,32.0,1.5,no,2,17,5,5
44,2.297488789912042,female,22.0,0.75,no,2,12,1,3
45,-1.7545372585733934,male,57.0,15.0,yes,2,14,4,4
47,1.4900449485567886,female,32.0,15.0,yes,4,16,1,2
49,-8.330832733068403,male,22.0,1.5,no,4,14,4,5
50,11.200764376829742,male,37.0,15.0,yes,2,20,7,2
55,10.099817382433105,male,27.0,4.0,yes,4,18,6,4
64,2.3875652375353678,male,47.0,15.0,yes,5,17,6,4
80,13.126444600732919,female,22.0,1.5,no,2,17,5,4
86,5.977954042360066,female,27.0,4.0,no,4,14,5,4
93,-7.638726093304782,female,37.0,15.0,yes,1,17,5,5
108,5.667673105689948,female,37.0,15.0,yes,2,18,4,3
114,-9.47764221270871,female,22.0,0.75,no,3,16,5,4
115,10.430683587445184,female,22.0,1.5,no,2,16,5,5
116,1.1311233924239998,female,27.0,10.0,yes,2,14,1,5
123,-1.090785894052202,female,22.0,1.5,no,2,16,5,5
127,-6.465896220447483,female,22.0,1.5,no,2,16,5,5
129,14.91887657901762,female,27.0,10.0,yes,4,16,5,4
134,-0.002303201390131626,female,32.0,10.0,yes,3,14,1,5
137,-2.9690309793562415,male,37.0,4.0,yes,2,20,6,4
139,-2.903244204011803,female,22.0,1.5,no,2,18,5,5
147,6.680089398854967,female,27.0,7.0,no,4,16,1,5
151,5.631843314905945,male,42.0,15.0,yes,5,20,6,4
153,6.144235926943873,male,27.0,4.0,yes,3,16,5,5
155,6.34023175818926,female,27.0,4.0,yes,3,17,5,4
162,24.877805029867897,male,42.0,15.0,yes,4,20,6,3
163,-3.4914082251963783,female,22.0,1.5,no,3,16,5,5
165,-4.638098942162626,male,27.0,0.417,no,4,17,6,4
168,-7.145499358833505,female,42.0,15.0,yes,5,14,5,4
170,8.346506253740763,male,32.0,4.0,yes,1,18,6,4
172,13.145201691032584,female,22.0,1.5,no,4,16,5,3
184,0.43742122890929247,female,42.0,15.0,yes,3,12,1,4
187,-8.191191427347537,female,22.0,4.0,no,4,17,5,5
192,-7.261530621650075,male,22.0,1.5,yes,1,14,3,5
194,7.9617452643194895,female,22.0,0.75,no,3,16,1,5
210,9.725585221341987,male,32.0,10.0,yes,5,20,6,5
217,7.557413054585674,male,52.0,15.0,yes,5,18,6,3
220,-6.298815371506764,female,22.0,0.417,no,5,14,1,4
224,4.187665052926157,female,27.0,4.0,yes,2,18,6,1
227,2.9364360837470365,female,32.0,7.0,yes,5,17,5,3
228,3.2818697007853035,male,22.0,4.0,no,3,16,5,5
239,11.114414555108407,female,27.0,7.0,yes,4,18,6,5
241,4.094851047833128,female,42.0,15.0,yes,2,18,5,4
245,9.028425883818802,male,27.0,1.5,yes,4,16,3,5
249,2.404342541615719,male,42.0,15.0,yes,2,20,6,4
262,4.045019019112341,female,22.0,0.75,no,5,14,3,5
265,8.51238400110859,male,32.0,7.0,yes,2,20,6,4
267,-14.116843630274698,male,27.0,4.0,yes,5,20,6,5
269,-1.7916879370552232,male,27.0,10.0,yes,4,20,6,4
271,-4.184417908636904,male,22.0,4.0,no,1,18,5,5
277,-5.250434916314271,female,37.0,15.0,yes,4,14,3,1
290,-1.3091966343994574,male,22.0,1.5,yes,5,16,4,4
292,17.870452417767023,female,37.0,15.0,yes,4,17,1,5
293,-8.469387649740346,female,27.0,0.75,no,4,17,5,4
295,12.16382314251235,male,32.0,10.0,yes,4,20,6,4
299,-16.56255550102841,female,47.0,15.0,yes,5,14,7,2
320,-1.9565364291419378,male,37.0,10.0,yes,3,20,6,4
321,2.6757831358080018,female,22.0,0.75,no,2,16,5,5
324,7.2642625067156565,male,27.0,4.0,no,2,18,4,5
334,8.618739586686027,male,32.0,7.0,no,4,20,6,4
351,10.26836602998609,male,42.0,15.0,yes,2,17,3,5
355,-2.1064994925218117,male,37.0,10.0,yes,4,20,6,4
361,-3.337695955077473,female,47.0,15.0,yes,3,17,6,5
362,10.208834066080255,female,22.0,1.5,no,5,16,5,5
366,-1.1605874335157482,female,27.0,1.5,no,2,16,6,4
370,-12.910352591473487,female,27.0,4.0,no,3,17,5,5
374,-10.607582072801794,female,32.0,10.0,yes,5,14,4,5
378,-9.050397072171815,female,22.0,0.125,no,2,12,5,5
381,7.059052597191082,male,47.0,15.0,yes,4,14,4,3
382,3.2153397330506204,male,32.0,15.0,yes,1,14,5,5
383,9.153811427706508,male,27.0,7.0,yes,4,16,5,5
384,-2.9573809671984135,female,22.0,1.5,yes,3,16,5,5
400,3.38994166056111,male,27.0,4.0,yes,3,17,6,5
403,7.6908331165440735,female,22.0,1.5,no,3,16,5,5
409,-1.6798154364142688,male,57.0,15.0,yes,2,14,7,2
412,6.621457526641375,male,17.5,1.5,yes,3,18,6,5
413,-5.500171336135157,male,57.0,15.0,yes,4,20,6,5
416,-3.021570508340833,female,22.0,0.75,no,2,16,3,4
418,-3.2240205396521584,male,42.0,4.0,no,4,17,3,3
422,-11.285365715683938,female,22.0,1.5,yes,4,12,1,5
435,6.188845875064224,female,22.0,0.417,no,1,17,6,4
439,-3.414091798909527,female,32.0,15.0,yes,4,17,5,5
445,1.0476600801606606,female,27.0,1.5,no,3,18,5,2
447,6.881198625025765,female,22.0,1.5,yes,3,14,1,5
448,6.51045852685831,female,37.0,15.0,yes,3,14,1,4
449,8.881839017897915,female,32.0,15.0,yes,4,14,3,4
478,0.6049586406298211,male,37.0,10.0,yes,2,14,5,3
482,-2.9145339821344116,male,37.0,10.0,yes,4,16,5,4
486,0.808310464806717,male,57.0,15.0,yes,5,20,5,3
489,-17.37074444082985,male,27.0,0.417,no,1,16,3,4
490,-14.008019457703984,female,42.0,15.0,yes,5,14,1,5
491,-12.659950335828196,male,57.0,15.0,yes,3,16,6,1
492,-9.13352348966706,male,37.0,10.0,yes,1,16,6,4
503,6.003826016694841,male,37.0,15.0,yes,3,17,5,5
508,-8.139178531487552,male,37.0,15.0,yes,4,20,6,5
509,-2.4254678066193653,female,27.0,10.0,yes,5,14,1,5
512,15.749814165151506,male,37.0,10.0,yes,2,18,6,4
515,-2.9479991628803033,female,22.0,0.125,no,4,12,4,5
517,9.663404887674535,male,57.0,15.0,yes,5,20,6,5
532,-8.444073146091927,female,37.0,15.0,yes,4,18,6,4
533,-0.5539150283397292,male,22.0,4.0,yes,4,14,6,4
535,-8.62182190337558,male,27.0,7.0,yes,4,18,5,4
537,-2.0014823664892596,male,57.0,15.0,yes,4,20,5,4
538,10.77720846181969,male,32.0,15.0,yes,3,14,6,3
543,-17.804010562713746,female,22.0,1.5,no,2,14,5,4
547,6.3792679837352395,female,32.0,7.0,yes,4,17,1,5
550,4.248064868109754,female,37.0,15.0,yes,4,17,6,5
558,-5.525600467415188,female,32.0,1.5,no,5,18,5,5
571,-13.996592198439334,male,42.0,10.0,yes,5,20,7,4
578,1.693836258563287,female,27.0,7.0,no,3,16,5,4
583,-4.825010209757549,male,37.0,15.0,no,4,20,6,5
586,4.193244098387082,male,37.0,15.0,yes,4,14,3,2
594,1.1490584963539674,male,32.0,10.0,no,5,18,6,4
597,18.268273179301037,female,22.0,0.75,no,4,16,1,5
602,-0.9214325203692733,female,27.0,7.0,yes,4,12,2,4
603,-9.417961215181503,female,27.0,7.0,yes,2,16,2,5
604,3.614624909878007,female,42.0,15.0,yes,5,18,5,4
612,4.055855734069424,male,42.0,15.0,yes,4,17,5,3
613,16.399499820328927,female,27.0,7.0,yes,2,16,1,2
621,9.96108549032001,female,22.0,1.5,no,3,16,5,5
627,5.538950959525156,male,37.0,15.0,yes,5,20,6,5
630,16.767823629676943,female,22.0,0.125,no,2,14,4,5
631,-11.968499997882851,male,27.0,1.5,no,4,16,5,5
632,-6.0197140011767925,male,32.0,1.5,no,2,18,6,5
639,-9.127585072508742,male,27.0,1.5,no,2,17,6,5
645,-2.5516709730759226,female,27.0,10.0,yes,4,16,1,3
647,-13.244918650699923,male,42.0,15.0,yes,4,18,6,5
648,7.794425993310014,female,27.0,1.5,no,2,16,6,5
651,-1.4956018593685352,male,27.0,4.0,no,2,18,6,3
655,-14.264752643542284,female,32.0,10.0,yes,3,14,5,3
667,-9.332161677126795,female,32.0,15.0,yes,3,18,5,4
670,4.309343809175576,female,22.0,0.75,no,2,18,6,5
671,10.753570177453422,female,37.0,15.0,yes,2,16,1,4
673,23.30756750956836,male,27.0,4.0,yes,4,20,5,5
701,32.485287010336386,male,27.0,4.0,no,1,20,5,4
705,6.162405041683802,female,27.0,10.0,yes,2,12,1,4
706,-9.049996186794715,female,32.0,15.0,yes,5,18,6,4
709,-21.429584374701747,male,27.0,7.0,yes,5,12,5,3
717,4.572866751620377,male,52.0,15.0,yes,2,18,5,4
719,-7.89630056457705,male,27.0,4.0,no,3,20,6,3
723,-2.8284891246510773,male,37.0,4.0,yes,1,18,5,4
724,-4.960250240583583,male,27.0,4.0,yes,4,14,5,4
726,0.1465606424820809,female,52.0,15.0,yes,5,12,1,3
734,13.222466777717464,female,57.0,15.0,yes,4,16,6,4
735,3.373784667439668,male,27.0,7.0,yes,1,16,5,4
736,-0.046786563208093934,male,37.0,7.0,yes,4,20,6,3
737,-10.309492066498748,male,22.0,0.75,no,2,14,4,3
739,-16.473847560712823,male,32.0,4.0,yes,2,18,5,3
743,-3.5972712175775667,male,37.0,15.0,yes,4,20,6,3
745,1.0893349706407829,male,22.0,0.75,yes,2,14,4,3
747,20.828406324162334,male,42.0,15.0,yes,4,20,6,3
751,3.0836758746410107,female,52.0,15.0,yes,5,17,1,1
752,12.320516256401554,female,37.0,15.0,yes,4,14,1,2
754,-3.737998656233982,male,27.0,7.0,yes,4,14,5,3
760,-11.167303979466524,male,32.0,4.0,yes,2,16,5,5
763,-8.785379825225654,female,27.0,4.0,yes,2,18,6,5
774,-6.186056555818325,female,27.0,4.0,yes,2,18,5,5
776,24.73501691680661,male,37.0,15.0,yes,5,18,6,5
779,-7.227999931533469,female,47.0,15.0,yes,5,12,5,4
784,10.757499499396243,female,32.0,10.0,yes,3,17,1,4
788,-8.11152779704824,female,27.0,1.5,yes,4,17,1,2
794,11.766104307420957,female,57.0,15.0,yes,2,18,5,2
795,5.083397020092171,female,22.0,1.5,no,4,14,5,4
798,-0.025148829651003624,male,42.0,15.0,yes,3,14,3,4
800,1.2304127758722512,male,57.0,15.0,yes,4,9,2,2
803,-5.422825244078087,male,57.0,15.0,yes,4,20,6,5
807,5.745673010340223,female,22.0,0.125,no,4,14,4,5
812,-3.2578569873168215,female,32.0,10.0,yes,4,14,1,5
820,-11.607894952388211,female,42.0,15.0,yes,3,18,5,4
823,-12.93474590525426,female,27.0,1.5,no,2,18,6,5
830,3.5421604950716934,male,32.0,0.125,yes,2,18,5,2
843,18.022442482584275,female,27.0,4.0,no,3,16,5,4
848,3.405673891812042,female,27.0,10.0,yes,2,16,1,4
851,0.3865935659531827,female,32.0,7.0,yes,4,16,1,3
854,4.769147401801773,female,37.0,15.0,yes,4,14,5,4
856,15.823207467044025,female,42.0,15.0,yes,5,17,6,2
857,4.049200790131491,male,32.0,1.5,yes,4,14,6,5
859,-2.780487770394135,female,32.0,4.0,yes,3,17,5,3
863,12.89941490225582,female,37.0,7.0,no,4,18,5,5
865,6.317861275641005,female,22.0,0.417,yes,3,14,3,5
