focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
4,2,8,0,560,779,9,6,4,3,7,9
4,1,7,0,316,159,12,6,3,4,6,4
2,4,6,1,542,818,9,5,3,4,6,4
5,1,8,1,78,733,13,7,2,4,5,4
4,5,5,1,528,270,11,10,2,4,9,7
1,4,1,0,597,364,6,7,2,3,4,3
3,1,4,0,519,144,5,8,4,4,4,7
5,2,4,0,645,846,13,7,2,4,3,3
1,3,2,1,660,670,9,10,3,4,3,5
3,6,1,0,263,809,11,13,3,3,7,4
5,6,5,0,325,252,8,11,2,4,8,7
4,2,1,1,222,301,12,6,3,3,9,4
2,4,3,1,727,337,8,12,2,3,6,6
5,3,1,0,603,308,8,6,3,4,7,3
3,2,4,1,79,271,13,7,4,3,3,9
5,3,4,1,597,826,9,5,3,2,5,4
4,2,4,1,299,301,12,7,3,4,8,6
3,5,4,1,72,584,13,12,4,3,5,4
1,6,4,1,291,400,11,10,3,2,9,7
1,5,2,1,501,441,10,5,3,3,3,5
6,3,1,0,196,723,11,7,4,2,5,5
1,1,1,1,110,823,5,11,2,3,9,9
5,6,1,0,182,458,8,12,2,2,5,4
6,2,6,0,676,732,8,8,2,3,5,5
6,1,3,0,629,609,6,10,3,3,3,3
1,6,6,0,698,668,7,7,2,2,8,9
2,6,4,1,243,632,10,13,3,2,8,9
1,5,8,1,184,463,9,12,2,4,3,6
6,2,6,1,552,291,13,8,4,2,9,9
6,4,4,1,382,820,10,10,4,2,4,8
5,1,6,0,701,659,10,10,2,4,5,8
5,6,3,0,113,491,8,5,2,4,7,4
2,6,1,1,250,674,13,9,4,4,5,4
5,6,2,1,559,749,11,12,2,2,6,3
5,6,8,0,177,91,7,10,2,3,5,7
5,6,4,0,165,561,11,12,3,2,5,5
1,2,2,0,123,89,9,13,2,2,7,4
2,4,6,1,417,396,8,10,3,4,7,3
2,2,6,0,636,731,6,13,2,2,5,5
6,2,3,1,115,562,12,12,2,2,5,3
6,2,8,0,91,444,13,12,4,3,8,7
5,2,2,1,615,696,5,6,3,4,8,8
1,5,8,1,377,826,7,9,2,2,8,3
3,5,4,0,606,109,12,12,4,3,4,4
6,3,4,0,337,449,13,10,2,2,4,8
6,3,7,1,370,829,11,11,3,4,9,4
6,5,3,1,157,774,5,7,4,3,8,5
1,4,2,1,554,422,7,9,3,2,7,5
6,1,7,1,491,233,11,10,2,2,9,9
6,5,6,0,211,139,8,10,2,4,5,6
6,6,5,0,332,816,10,10,2,4,5,3
4,1,6,0,215,472,10,8,4,2,4,8
3,3,7,1,72,840,13,5,4,4,4,5
4,3,8,1,410,116,11,8,2,4,9,9
2,6,7,1,530,204,5,10,3,3,9,3
1,3,1,1,579,400,9,6,3,3,4,5
5,6,5,1,694,419,12,13,4,2,9,6
4,3,5,1,365,654,11,9,4,3,3,5
