chimpanzee,age,sex,hammer,nuts_opened,seconds,help
18,14,m,G,8,51.13086936261809,N
5,4,m,G,3,68.76073434774821,N
22,7,m,G,14,88.62131830509813,N
20,6,f,G,60,45.0412150944465,N
13,9,m,G,69,19.95703758002245,N
2,9,m,G,6,72.13337736951915,N
6,6,m,G,47,66.13518161272735,N
22,13,m,G,67,10.808581883932654,N
11,6,m,L,37,83.35192022805538,N
18,15,f,wood,21,78.347205343722,N
18,15,m,G,71,84.73799397557401,y
21,10,m,G,75,48.856856400907304,N
20,11,m,G,65,70.53469891160779,N
13,14,m,wood,18,79.08149120749411,N
17,11,f,G,43,43.372035712273004,N
16,3,m,G,72,54.96951174456785,N
20,9,f,G,64,72.14580360231237,N
3,7,m,G,22,78.16783770241135,N
3,15,m,G,71,62.22193678958436,N
2,16,f,L,18,66.25252943503101,N
10,12,m,G,72,60.07507267059607,N
13,10,m,G,77,76.17795565246648,N
11,12,m,G,20,80.06534854311596,y
5,12,m,G,36,29.867114974394894,N
4,6,m,G,33,36.01304259121636,N
4,9,f,G,21,46.943901795792016,N
20,4,m,G,76,92.10802316001963,N
22,5,m,G,35,84.02834643860949,N
18,15,m,G,17,29.56206664862016,N
3,12,f,G,15,59.29837148067485,N
20,7,f,G,58,80.06106961998816,N
18,16,m,G,10,103.66841828948304,N
17,3,f,G,24,59.253169110659556,N
22,9,m,G,39,95.05682384054599,y
3,6,m,L,35,67.04215876120848,N
17,16,f,G,30,57.357895289274154,N
2,16,f,wood,69,87.52278126334357,N
12,9,m,G,8,97.54186777346519,y
5,8,m,Q,37,37.26117937011617,N
13,10,m,G,42,61.79856473163433,N
6,7,m,G,35,24.17874953169465,N
17,11,f,G,72,91.65160123406001,N
2,7,m,G,53,74.5707233844667,N
17,4,f,G,4,62.252761358637926,y
7,11,m,G,74,31.23642173967813,N
13,4,m,G,75,87.37690228310205,N
6,16,m,G,11,103.78851333566853,N
5,14,m,G,55,58.48609307611585,N
12,9,m,G,31,83.05509674160501,N
11,10,m,G,59,44.00160197035195,N
4,4,m,G,63,50.69916762582499,N
4,6,m,G,38,72.10013042807985,N
10,10,m,G,7,44.35565106603987,y
7,10,f,wood,41,70.69909918900882,N
1,14,m,G,40,92.87198963613228,N
15,11,m,G,6,65.2510714669593,N
20,12,m,G,54,51.956694733612466,N
2,12,m,G,59,92.9790587768026,N
4,10,m,G,28,59.84566288445977,N
22,7,m,G,40,41.240558942224325,N
5,14,f,G,12,98.92720821428153,y
11,16,m,G,36,41.649735778439535,N
19,12,m,Q,60,40.41149459425645,N
4,12,m,G,25,75.88580839302088,y
6,15,f,G,62,60.51249563224653,y
20,11,m,G,23,45.85928533909535,y
9,4,f,G,42,38.06937757692918,N
3,16,m,G,68,71.19842270290238,N
16,5,m,G,48,64.88052679855957,y
9,9,m,G,27,68.72259392420206,N
4,5,m,G,17,66.27559947194266,N
11,15,f,G,17,73.1032614353178,N
11,13,m,G,5,30.95973274444824,N
6,7,m,G,70,85.19314214226586,N
21,10,m,G,57,26.78694459848826,N
18,15,m,G,15,42.38170860049922,N
14,16,m,G,44,70.32874282528842,N
17,8,f,G,69,98.0889062194242,N
13,9,f,G,33,79.97452158168011,N
6,3,m,G,51,49.95928641555602,N
10,15,m,G,64,36.823384165460716,N
7,4,m,G,12,46.91023558347229,N
3,6,m,L,33,96.56096986752311,N
7,12,m,wood,73,42.052909680802635,N
