,0
n,94.0
corr_pearson_masfem_alldeaths,0.11681317201270706
corr_pearson_masfem_logdeaths,0.07817262940813494
corr_spearman_masfem_alldeaths,0.0016678835701915788
corr_spearman_masfem_logdeaths,0.0016678835701915788
ols1_coef,0.03747424484528911
ols1_pval,0.4539065984285727
ols2_coef,0.013588461215799064
ols2_pval,0.7151931872490711
poisson_coef,0.17013112539573177
poisson_pval,8.233710986581776e-05
nb2_coef,0.058509188879690976
nb2_pval,0.21470468417849264
ols2_ci_low,-0.0601889923424944
ols2_ci_high,0.08736591477409253
poisson_ci_low,0.08544505145944238
poisson_ci_high,0.2548171993320212
nb2_ci_low,-0.033916799807402434
nb2_ci_high,0.15093517756678437
