perturbation,metric,mean,std,var
add_features_output,Control Variables Similarity Score,4.5,0.5270462766947299,0.2777777777777778
add_features_output,Independent Variables Similarity Score,4.8,0.4216370213557839,0.17777777777777776
add_features_output,Model Similarity Score,4.5,0.5270462766947299,0.2777777777777778
add_features_output,Response Variables Similarity Score,5.0,0.0,0.0
add_features_output,conclusions,4.7,0.48304589153964794,0.23333333333333334
add_features_output,overall_similarity,4.7,0.32998316455372206,0.10888888888888883
anonymize_output,Control Variables Similarity Score,4.2,0.4216370213557839,0.17777777777777776
anonymize_output,Independent Variables Similarity Score,4.6,0.5163977794943222,0.26666666666666666
anonymize_output,Model Similarity Score,4.3,0.48304589153964794,0.23333333333333334
anonymize_output,Response Variables Similarity Score,5.0,0.0,0.0
anonymize_output,conclusions,2.6,2.065591117977289,4.266666666666667
anonymize_output,overall_similarity,4.14,0.5420127099780758,0.2937777777777777
noperturb_output,Control Variables Similarity Score,4.6,0.5163977794943222,0.26666666666666666
noperturb_output,Independent Variables Similarity Score,4.5,0.5270462766947299,0.2777777777777778
noperturb_output,Model Similarity Score,4.4,0.5163977794943222,0.26666666666666666
noperturb_output,Response Variables Similarity Score,5.0,0.0,0.0
noperturb_output,conclusions,4.9,0.31622776601683794,0.09999999999999999
noperturb_output,overall_similarity,4.68,0.2699794230842211,0.07288888888888888
replace_with_rvs_output,Control Variables Similarity Score,4.4,0.5163977794943222,0.26666666666666666
replace_with_rvs_output,Independent Variables Similarity Score,4.7,0.48304589153964794,0.23333333333333334
replace_with_rvs_output,Model Similarity Score,4.3,0.48304589153964794,0.23333333333333334
replace_with_rvs_output,Response Variables Similarity Score,5.0,0.0,0.0
replace_with_rvs_output,conclusions,2.9,1.3703203194062978,1.877777777777778
replace_with_rvs_output,overall_similarity,4.26,0.45264653858047876,0.20488888888888887
shuffle_names_output,Control Variables Similarity Score,4.1,0.31622776601683794,0.09999999999999999
shuffle_names_output,Independent Variables Similarity Score,4.6,0.5163977794943222,0.26666666666666666
shuffle_names_output,Model Similarity Score,4.1,0.31622776601683794,0.09999999999999999
shuffle_names_output,Response Variables Similarity Score,5.0,0.0,0.0
shuffle_names_output,conclusions,3.8,1.9321835661585915,3.7333333333333325
shuffle_names_output,overall_similarity,4.319999999999999,0.3794733192202055,0.144
