focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other
3,1,1,0,628,237,12,11,4,4,9,4
1,1,2,0,180,580,11,10,3,3,3,5
1,6,4,0,319,244,11,12,4,2,3,7
2,5,7,0,446,432,11,5,2,2,3,7
2,5,7,0,601,480,12,11,3,2,3,6
5,4,3,1,108,494,11,6,2,3,4,3
3,2,3,1,426,478,11,9,4,2,9,5
5,3,3,1,238,759,11,7,3,4,8,7
4,5,3,0,572,775,7,11,2,2,8,8
5,4,2,1,476,679,9,7,3,3,7,7
5,3,5,0,319,320,12,5,4,4,9,8
4,1,6,0,334,154,8,12,4,3,7,5
6,1,3,0,248,359,5,12,3,3,7,8
1,2,7,1,112,265,6,12,2,2,3,6
5,3,1,1,550,362,5,12,4,4,3,6
6,2,6,1,682,705,5,11,3,2,4,3
5,5,2,1,524,443,7,9,4,3,5,3
4,1,4,1,685,773,10,5,3,4,7,3
2,5,3,0,650,131,12,11,3,4,8,5
1,5,3,0,499,82,13,7,3,3,3,3
3,5,5,0,639,679,10,11,4,2,4,3
3,2,2,0,641,221,8,6,2,4,7,4
1,5,2,0,93,285,10,13,4,2,5,9
4,3,7,0,311,102,8,6,2,2,3,7
6,6,5,1,91,110,10,5,4,2,9,5
2,6,6,0,665,109,10,8,4,3,8,9
1,1,6,1,343,77,10,5,4,3,3,7
2,5,3,1,595,785,12,7,4,2,3,8
6,1,5,0,629,167,12,5,2,3,5,5
2,1,6,1,540,423,13,7,3,4,6,7
3,4,5,0,422,409,8,7,3,3,6,8
4,4,5,1,91,431,11,10,3,2,3,4
5,6,3,1,458,533,11,5,2,2,3,4
6,6,3,0,159,352,7,10,4,2,6,5
2,4,8,0,711,90,11,12,3,4,3,6
2,6,7,1,432,592,6,6,3,2,6,8
5,6,3,1,707,187,10,13,4,3,5,7
3,5,1,0,323,363,10,7,4,3,7,3
1,2,8,1,461,317,5,13,4,3,7,9
3,3,2,1,296,407,10,11,2,3,3,7
4,3,1,0,727,475,12,9,3,2,7,7
5,4,6,0,290,611,10,12,4,3,9,4
4,4,4,0,325,788,7,6,4,4,4,6
5,3,8,1,194,66,5,7,3,4,7,3
4,1,2,1,539,623,8,12,2,4,4,8
4,4,6,1,605,178,8,7,2,2,3,5
1,5,4,0,184,380,13,11,2,4,9,9
6,6,8,1,97,178,11,13,4,2,7,4
5,4,6,0,112,423,6,9,4,3,7,5
4,3,8,0,410,772,12,8,4,4,8,9
6,3,2,1,379,239,11,13,3,3,3,5
5,5,3,0,494,692,12,9,2,4,9,8
4,5,6,0,357,641,7,7,3,4,9,7
1,4,8,1,563,673,5,10,4,2,7,5
5,2,2,1,672,331,6,11,3,3,5,5
4,3,8,1,344,785,12,10,3,4,7,8
2,1,8,0,617,130,12,7,3,4,7,4
6,5,8,1,629,440,6,8,2,3,5,3
