rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating
3998,11,female,22.96819068602363,10.805867417397396,no,2,15,2,2
6029,3,female,19.986137042399196,9.563055845896761,yes,3,14,3,1
1736,8,male,17.188995912443758,18.03854087368726,yes,5,16,5,2
1257,12,male,13.6296454041188,3.555734896169029,yes,3,17,3,4
8893,8,female,15.942033826751027,10.129940575498615,yes,4,10,2,2
6189,12,female,6.385004810388541,12.121791304492454,no,1,9,7,2
2298,2,female,21.919516596794196,5.941821983859791,yes,2,19,4,5
1159,3,male,15.955958693130885,17.231806020803695,no,5,20,6,1
8350,11,female,20.001816455263505,9.879529095342615,no,5,11,5,1
758,10,male,21.43528154856069,2.2589327502547816,no,5,14,2,3
6155,12,female,33.05189812587142,3.8322504229847834,no,4,16,4,4
2701,11,female,28.92210782512575,12.18689603355661,no,4,18,7,2
4649,7,male,20.89066133414991,10.980969221165367,yes,3,10,4,2
4688,10,male,5.625633222621975,0.7533231067626707,yes,2,11,1,2
19,5,female,12.243888490335923,4.609572314041017,yes,4,9,2,2
7085,5,male,28.581094511208114,12.582390390424726,yes,2,9,1,2
3720,5,female,13.050831452994535,10.733894648814301,yes,3,20,4,4
3078,6,male,10.58868322984913,9.81525193511503,yes,2,17,6,1
2286,2,male,7.4633372925774175,5.779142440148228,yes,1,13,2,4
5937,4,female,13.549145885204027,3.4924747153107414,no,1,19,2,2
2755,8,female,19.15418644723259,8.503605392725401,yes,4,16,5,3
2282,2,male,18.56975092418723,5.139040996764271,yes,5,17,7,4
3061,0,female,29.96149593440827,7.271021331018719,yes,2,16,2,3
1942,0,male,4.401704966911421,7.3099788723079175,yes,5,20,1,1
4007,5,male,18.893983167113586,5.974846904423977,yes,3,13,4,2
1065,7,female,9.663779694394009,8.68783256064383,no,1,10,1,4
2904,4,male,17.931673095061786,2.1657917724945044,yes,2,12,3,4
4397,12,male,13.011078236932146,3.0191439343699056,yes,2,18,4,1
6208,5,female,21.08676953631906,9.100317189641654,yes,5,16,6,5
