feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
Anterior,AMNH99.1/100,0.9019396551724153,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/100,0.9019396551724153,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/100,0.9019396551724153,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/101,0.9019396551724153,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/101,0.9019396551724153,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/101,0.9019396551724153,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/102,0.9019396551724153,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/102,0.9019396551724153,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/102,0.9019396551724153,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/103,0.9019396551724153,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/103,0.9019396551724153,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/103,0.9019396551724153,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/104,0.9019396551724153,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/104,0.9019396551724153,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/104,0.9019396551724153,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/105,0.9019396551724153,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/105,0.9019396551724153,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/105,0.9019396551724153,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/107,0.9019396551724153,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/107,0.9019396551724153,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/107,0.9019396551724153,7,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/109,0.9019396551724153,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/109,0.9019396551724153,10,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/109,0.9019396551724153,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/110,0.9019396551724153,5,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/110,0.9019396551724153,6,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/110,0.9019396551724153,4,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/111,0.9019396551724153,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/111,0.9019396551724153,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/111,0.9019396551724153,8,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/112,0.9019396551724153,12,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/112,0.9019396551724153,11,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/112,0.9019396551724153,8,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/160,0.9019396551724153,4,55.0,15.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/160,0.9019396551724153,5,55.0,15.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/160,0.9019396551724153,4,55.0,15.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59,0.9019396551724153,12,48.8,10.5,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59,0.9019396551724153,6,48.8,10.5,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59,0.9019396551724153,8,48.8,10.5,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59-B,0.9019396551724153,6,40.0,10.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59-B,0.9019396551724153,6,40.0,10.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59-B,0.9019396551724153,4,40.0,10.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/60,0.9019396551724153,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/60,0.9019396551724153,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/60,0.9019396551724153,4,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/61,0.9019396551724153,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/61,0.9019396551724153,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/61,0.9019396551724153,8,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/64,0.9019396551724153,12,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/64,0.9019396551724153,10,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/64,0.9019396551724153,8,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/72,0.9019396551724153,12,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/72,0.9019396551724153,11,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/72,0.9019396551724153,8,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/75-A,0.9019396551724153,12,31.3690097,5.56672472,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/75-A,0.9019396551724153,12,31.3690097,5.56672472,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/75-A,0.9019396551724153,8,31.3690097,5.56672472,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/77,0.9019396551724153,12,45.2,12.6,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/77,0.9019396551724153,11,45.2,12.6,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/77,0.9019396551724153,8,45.2,12.6,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/79,0.9019396551724153,6,39.4,9.1,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/79,0.9019396551724153,6,39.4,9.1,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/79,0.9019396551724153,4,39.4,9.1,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/80(a),0.9019396551724153,6,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/80(a),0.9019396551724153,6,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/80(a),0.9019396551724153,4,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/80(b),0.9019396551724153,6,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/80(b),0.9019396551724153,5,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/80(b),0.9019396551724153,4,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/83-A,0.9019396551724153,12,32.0178426,3.7220627,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/83-A,0.9019396551724153,10,32.0178426,3.7220627,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/83-A,0.9019396551724153,8,32.0178426,3.7220627,0.25,Homo sapiens,Alaska
