perturbation,metric,mean,std,var
add_features_output,Control Variables Similarity Score,4.6,0.5163977794943222,0.26666666666666666
add_features_output,Independent Variables Similarity Score,5.0,0.0,0.0
add_features_output,Model Similarity Score,3.1,0.8755950357709131,0.7666666666666666
add_features_output,Response Variables Similarity Score,5.0,0.0,0.0
add_features_output,conclusions,3.4,1.07496769977314,1.1555555555555557
add_features_output,overall_similarity,4.220000000000001,0.3583914681524163,0.12844444444444442
anonymize_output,Control Variables Similarity Score,5.0,0.0,0.0
anonymize_output,Independent Variables Similarity Score,5.0,0.0,0.0
anonymize_output,Model Similarity Score,3.0,0.816496580927726,0.6666666666666666
anonymize_output,Response Variables Similarity Score,4.6,0.5163977794943222,0.26666666666666666
anonymize_output,conclusions,3.8,1.6193277068654823,2.622222222222222
anonymize_output,overall_similarity,4.279999999999999,0.35527766918597936,0.12622222222222218
noperturb_output,Control Variables Similarity Score,4.8,0.4216370213557839,0.17777777777777776
noperturb_output,Independent Variables Similarity Score,5.0,0.0,0.0
noperturb_output,Model Similarity Score,3.2,0.9189365834726815,0.8444444444444444
noperturb_output,Response Variables Similarity Score,4.6,0.6992058987801011,0.48888888888888893
noperturb_output,conclusions,3.1,1.4491376746189437,2.0999999999999996
noperturb_output,overall_similarity,4.14,0.48120219820316235,0.23155555555555551
replace_with_rvs_output,Control Variables Similarity Score,4.5,0.5270462766947299,0.2777777777777778
replace_with_rvs_output,Independent Variables Similarity Score,5.0,0.0,0.0
replace_with_rvs_output,Model Similarity Score,2.6,0.9660917830792959,0.9333333333333333
replace_with_rvs_output,Response Variables Similarity Score,4.6,0.5163977794943222,0.26666666666666666
replace_with_rvs_output,conclusions,3.7,1.7029386365926402,2.9000000000000004
replace_with_rvs_output,overall_similarity,4.080000000000001,0.4825856285561029,0.2328888888888889
shuffle_names_output,Control Variables Similarity Score,4.3,0.48304589153964794,0.23333333333333334
shuffle_names_output,Independent Variables Similarity Score,5.0,0.0,0.0
shuffle_names_output,Model Similarity Score,3.0,0.816496580927726,0.6666666666666666
shuffle_names_output,Response Variables Similarity Score,4.5,0.7071067811865476,0.5
shuffle_names_output,conclusions,2.6,1.7126976771553508,2.933333333333334
shuffle_names_output,overall_similarity,3.88,0.5902918298980974,0.34844444444444433
