tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,player,religiousness,expenditure,school,persons,games,f_other,hammer,n_other,beauty
Anterior,AMNH99.1/100,0.30471707975443135,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Abel Aguilar,3,6384.911133,Sunol Glen Unified,1,2,9,G,13,0.2899157
Posterior,AMNH99.1/100,-1.0399841062404955,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,G,13,-0.7377322
Premolar,AMNH99.1/100,0.7504511958064572,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska,Franck Tabanou,1,5501.95459,Thermalito Union Elementary,1,1,4,wood,6,-0.5719836
Anterior,AMNH99.1/101,0.9405647163912139,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Joel Matip,5,7101.831055,Golden Feather Union Elementary,2,1,7,G,10,-0.6779634
Posterior,AMNH99.1/101,-1.9510351886538364,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska, Pedro León,2,5235.987793,Palermo Union Elementary,1,11,3,L,5,1.509794
Premolar,AMNH99.1/101,-1.302179506862318,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska,Thomas Müller,2,5580.146973,Burrel Union Elementary,4,4,3,Q,5,0.5885687
Anterior,AMNH99.1/102,0.12784040316728537,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,Q,5,-0.126001
Posterior,AMNH99.1/102,-0.3162425923435822,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Jonathan Schmid,2,4565.746094,Vineland Elementary,4,1,7,wood,10,-0.2581899
Premolar,AMNH99.1/102,-0.016801157504288795,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska,Gary Caldwell,4,5355.54834,Orange Center Elementary,3,2,4,G,6,0.1496926
Anterior,AMNH99.1/103,-0.85304392757358,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Peniel Mlapa,4,5036.211426,Del Paso Heights Elementary,1,1,3,L,5,0.540917
Posterior,AMNH99.1/103,0.8793979748628286,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Tobias Steffen,2,4547.692383,Le Grand Union Elementary,4,1,3,wood,5,0.2316134
Premolar,AMNH99.1/103,0.7777919354289483,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,G,10,-0.0666737
