feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
4,1.367622733558653,male,37.0,10.0,no,3,18,7,4
5,-0.6417788093216612,female,27.0,4.0,no,4,14,6,4
11,2.793500371159768,female,32.0,15.0,yes,1,12,1,4
16,3.077589063550391,male,57.0,15.0,yes,5,18,6,5
23,-2.0031723067845646,male,22.0,0.75,no,2,17,6,3
29,-1.0335802355662573,female,32.0,1.5,no,2,17,5,5
44,1.1033140004844084,female,22.0,0.75,no,2,12,1,3
45,1.1995282931894116,male,57.0,15.0,yes,2,14,4,4
47,1.6469868716714278,female,32.0,15.0,yes,4,16,1,2
49,-0.36243207612034256,male,22.0,1.5,no,4,14,4,5
50,2.986186939360874,male,37.0,15.0,yes,2,20,7,2
55,2.8343559344277325,male,27.0,4.0,yes,4,18,6,4
64,1.770763409612915,male,47.0,15.0,yes,5,17,6,4
80,2.596729443281991,female,22.0,1.5,no,2,17,5,4
86,1.6108849741505322,female,27.0,4.0,no,4,14,5,4
93,0.3880429914076844,female,37.0,15.0,yes,1,17,5,5
108,2.2231213128051137,female,37.0,15.0,yes,2,18,4,3
114,-0.5205879516046721,female,22.0,0.75,no,3,16,5,4
115,2.2249584990038107,female,22.0,1.5,no,2,16,5,5
116,1.5974881938629888,female,27.0,10.0,yes,2,14,1,5
123,0.6360388701882838,female,22.0,1.5,no,2,16,5,5
127,-0.10523968966678421,female,22.0,1.5,no,2,16,5,5
129,3.498949783517368,female,27.0,10.0,yes,4,16,5,4
134,1.44117794492947,female,32.0,10.0,yes,3,14,1,5
137,1.0320381205925848,male,37.0,4.0,yes,2,20,6,4
139,0.38608372429917204,female,22.0,1.5,no,2,18,5,5
147,1.7077160816591506,female,27.0,7.0,no,4,16,1,5
151,2.218180045724167,male,42.0,15.0,yes,5,20,6,4
153,2.2888438339010646,male,27.0,4.0,yes,3,16,5,5
155,2.315873513051969,female,27.0,4.0,yes,3,17,5,4
162,4.87238022335297,male,42.0,15.0,yes,4,20,6,3
163,0.30497034204146156,female,22.0,1.5,no,3,16,5,5
165,0.1468308450533199,male,27.0,0.417,no,4,17,6,4
168,0.45606362376856113,female,42.0,15.0,yes,5,14,5,4
170,2.592557744338016,male,32.0,4.0,yes,1,18,6,4
172,2.599316223466972,female,22.0,1.5,no,4,16,5,3
184,1.501820103440111,female,42.0,15.0,yes,3,12,1,4
187,-0.34317421912478885,female,22.0,4.0,no,4,17,5,5
192,0.4400618150286626,male,22.0,1.5,yes,1,14,3,5
194,1.8844685493277509,female,22.0,0.75,no,3,16,1,5
210,2.7827457793649035,male,32.0,10.0,yes,5,20,6,5
217,2.4837343277490227,male,52.0,15.0,yes,5,18,6,3
220,-0.08219766009690943,female,22.0,0.417,no,5,14,1,4
224,2.0190142021958333,female,27.0,4.0,yes,2,18,6,1
227,1.8464578913481533,female,32.0,7.0,yes,5,17,5,3
228,1.2390694398430477,male,22.0,4.0,no,3,16,5,5
239,2.97427848211954,female,27.0,7.0,yes,4,18,6,5
241,2.006214272919613,female,42.0,15.0,yes,2,18,5,4
245,2.686600911943126,male,27.0,1.5,yes,4,16,3,5
249,1.7730771585504692,male,42.0,15.0,yes,2,20,6,4
262,1.3443149498497649,female,22.0,0.75,no,5,14,3,5
265,2.615433854820252,male,32.0,7.0,yes,2,20,6,4
267,-0.505350696680082,male,27.0,4.0,yes,5,20,6,5
269,1.1944048632,male,27.0,10.0,yes,4,20,6,4
271,0.20939775117132742,male,22.0,4.0,no,1,18,5,5
277,0.7174109367501885,female,37.0,15.0,yes,4,14,3,1
290,1.2609449779617226,male,22.0,1.5,yes,5,16,4,4
292,3.9060000121065315,female,37.0,15.0,yes,4,17,1,5
293,-0.38154010978935493,female,27.0,0.75,no,4,17,5,4
295,3.119001853200934,male,32.0,10.0,yes,4,20,6,4
299,-0.8426374988634677,female,47.0,15.0,yes,5,14,7,2
320,1.1716706967572676,male,37.0,10.0,yes,3,20,6,4
321,1.1554843692580539,female,22.0,0.75,no,2,16,5,5
324,1.7882790792174605,male,27.0,4.0,no,2,18,4,5
334,1.9750742812185473,male,32.0,7.0,no,4,20,6,4
351,2.8576003873108764,male,42.0,15.0,yes,2,17,3,5
355,1.1509893717418913,male,37.0,10.0,yes,4,20,6,4
361,0.9811957330550416,female,47.0,15.0,yes,3,17,6,5
362,2.194363351422493,female,22.0,1.5,no,5,16,5,5
366,0.6264125776087407,female,27.0,1.5,no,2,16,6,4
370,-0.9939911845531544,female,27.0,4.0,no,3,17,5,5
374,-0.021390332052030336,female,32.0,10.0,yes,5,14,4,5
378,-0.46166680520009984,female,22.0,0.125,no,2,12,5,5
381,2.415005706434579,male,47.0,15.0,yes,4,14,4,3
382,1.8849213428756189,male,32.0,15.0,yes,1,14,5,5
383,2.703892764529537,male,27.0,7.0,yes,4,16,5,5
384,1.0336447674724152,female,22.0,1.5,yes,3,16,5,5
400,1.9090006003258921,male,27.0,4.0,yes,3,17,6,5
403,1.8471072014566121,female,22.0,1.5,no,3,16,5,5
409,1.209833139296079,male,57.0,15.0,yes,2,14,7,2
412,2.3546572067760985,male,17.5,1.5,yes,3,18,6,5
413,0.6829699220757349,male,57.0,15.0,yes,4,20,6,5
416,0.3697654076247646,female,22.0,0.75,no,2,16,3,4
418,0.34184563323127504,male,42.0,4.0,no,4,17,3,3
422,-0.1148631078984641,female,22.0,1.5,yes,4,12,1,5
435,1.6399689528112966,female,22.0,0.417,no,1,17,6,4
439,0.9706600235242726,female,32.0,15.0,yes,4,17,5,5
445,0.9309507986575647,female,27.0,1.5,no,3,18,5,2
447,2.3904779612636955,female,22.0,1.5,yes,3,14,1,5
448,2.339349394711202,female,37.0,15.0,yes,3,14,1,4
449,2.6663851964944767,female,32.0,15.0,yes,4,14,3,4
478,1.524925097336176,male,37.0,10.0,yes,2,14,5,3
482,1.039553772023709,male,37.0,10.0,yes,4,16,5,4
486,1.5529692374963358,male,57.0,15.0,yes,5,20,5,3
489,-1.6091214136469896,male,27.0,0.417,no,1,16,3,4
490,-0.49034281386054257,female,42.0,15.0,yes,5,14,1,5
491,-0.30443132989676536,male,57.0,15.0,yes,3,16,6,1
492,0.1818962904164072,male,37.0,10.0,yes,1,16,6,4
503,2.269479979070464,male,37.0,15.0,yes,3,17,5,5
508,0.3190258661534633,male,37.0,15.0,yes,4,20,6,5
509,1.1070006239477226,female,27.0,10.0,yes,5,14,1,5
512,3.6135439368976305,male,37.0,10.0,yes,2,18,6,4
515,0.37991159211176384,female,22.0,0.125,no,4,12,4,5
517,2.774170523157422,male,57.0,15.0,yes,5,20,6,5
532,0.2769780146495351,female,37.0,15.0,yes,4,18,6,4
533,1.3651054560221696,male,22.0,4.0,yes,4,14,6,4
535,0.252464779606113,male,27.0,7.0,yes,4,18,5,4
537,1.1654722268310695,male,57.0,15.0,yes,4,20,5,4
538,2.927774572054674,male,32.0,15.0,yes,3,14,6,3
543,-1.6688729103347741,female,22.0,1.5,no,2,14,5,4
547,2.3212569778178556,female,32.0,7.0,yes,4,17,1,5
550,2.02734390806158,female,37.0,15.0,yes,4,17,6,5
558,0.024435989402125435,female,32.0,1.5,no,5,18,5,5
571,-0.48876688671181157,male,42.0,10.0,yes,5,20,7,4
578,1.020064606161527,female,27.0,7.0,no,3,16,5,4
583,0.1210540131652258,male,37.0,15.0,no,4,20,6,5
586,2.0197836053398643,male,37.0,15.0,yes,4,14,3,2
594,0.9449345994287326,male,32.0,10.0,no,5,18,6,4
597,3.3058362433834754,female,22.0,0.75,no,4,16,1,5
602,1.3144213173403299,female,27.0,7.0,yes,4,12,2,4
603,0.1426696374298817,female,27.0,7.0,yes,2,16,2,5
604,1.9399865457974304,female,42.0,15.0,yes,5,18,5,4
612,2.000836450275507,male,42.0,15.0,yes,4,17,5,3
613,3.703141734446726,female,27.0,7.0,yes,2,16,1,2
621,2.1601964792480084,female,22.0,1.5,no,3,16,5,5
627,2.20536931120211,male,37.0,15.0,yes,5,20,6,5
630,3.0989100569908623,female,22.0,0.125,no,2,14,4,5
631,-0.8641008024443197,male,27.0,1.5,no,4,16,5,5
632,-0.04370694096956351,male,32.0,1.5,no,2,18,6,5
639,-0.47231176060629343,male,27.0,1.5,no,2,17,6,5
645,1.089596013474768,female,27.0,10.0,yes,4,16,1,3
647,-0.3851039940241563,male,42.0,15.0,yes,4,18,6,5
648,1.8613936390992416,female,27.0,1.5,no,2,16,6,5
651,0.5802109192153639,male,27.0,4.0,no,2,18,6,3
655,-0.5257487487546912,female,32.0,10.0,yes,3,14,5,3
667,0.15450220534818082,female,32.0,15.0,yes,3,18,5,4
670,1.3807678387792968,female,22.0,0.75,no,2,18,6,5
671,2.924514629034264,female,37.0,15.0,yes,2,16,1,4
673,4.655829615645047,male,27.0,4.0,yes,4,20,5,5
701,5.266496936496559,male,27.0,4.0,no,1,20,5,4
705,2.291349526694405,female,27.0,10.0,yes,2,12,1,4
706,0.19341549560885452,female,32.0,15.0,yes,5,18,6,4
709,-1.5138468201927142,male,27.0,7.0,yes,5,12,5,3
717,2.072137160260449,male,52.0,15.0,yes,2,18,5,4
719,-0.3025059796292242,male,27.0,4.0,no,3,20,6,3
723,1.0514201718118144,male,37.0,4.0,yes,1,18,5,4
