chimpanzee,age,sex,hammer,nuts_opened,seconds,help
13,4,m,G,41,59.69704585202184,N
5,3,m,G,76,83.51201327052172,N
22,4,m,G,19,63.30611363805252,N
11,11,f,G,39,81.16134339946602,N
4,6,m,G,52,50.52076532710134,N
11,14,m,G,7,59.30991289855562,N
4,12,m,G,17,50.18978793758977,N
4,15,m,G,66,49.338912636366416,N
4,13,m,L,60,63.58565116524367,N
6,3,f,wood,30,71.98322085263814,N
16,12,m,G,37,66.53457442654357,y
3,16,m,G,42,46.586022664386746,N
8,14,m,G,59,49.59210900822714,N
3,15,m,wood,19,38.78230094346726,N
2,11,f,G,8,72.28986444469169,N
14,8,m,G,18,45.459604285931036,N
6,12,f,G,60,57.495656340984645,N
2,5,m,G,6,75.33077030999337,N
15,14,m,G,14,91.22064938239816,N
1,16,f,L,35,75.12374342985467,N
15,12,m,G,3,64.58704231411903,N
17,4,m,G,15,76.73895048360296,N
11,13,m,G,30,57.98404131014159,y
20,7,m,G,76,91.2094574024023,N
5,14,m,G,68,73.98771525702938,N
21,14,f,G,41,61.462954600048626,N
17,10,m,G,62,90.34002524970076,N
8,15,m,G,1,60.13881738167151,N
10,10,m,G,33,84.90770375291231,N
16,12,f,G,37,62.564611774449844,N
21,12,f,G,34,81.49031460220056,N
14,8,m,G,13,50.344165336120774,N
15,5,f,G,48,58.87025404140966,N
4,6,m,G,17,93.31599573155788,y
1,11,m,L,0,61.4892415327851,N
22,16,f,G,26,72.03556288924287,N
14,11,f,wood,21,39.44567022772,N
10,16,m,G,50,51.260061012126926,y
3,11,m,Q,73,53.86540132350645,N
14,14,m,G,53,29.846347024249397,N
6,4,m,G,34,77.1949036140251,N
8,14,f,G,13,56.229324417327135,N
20,10,m,G,77,74.18607900123251,N
18,9,f,G,47,92.11193679134112,y
6,15,m,G,31,62.42054156758,N
22,4,m,G,40,74.34191248190183,N
5,7,m,G,40,53.526796275473295,N
16,11,m,G,14,57.94547893213342,N
15,5,m,G,21,85.60725812072931,N
15,14,m,G,9,33.79001767248816,N
11,6,m,G,56,49.75150817042448,N
14,3,m,G,34,77.62071414997122,N
22,11,m,G,42,67.59019354974185,y
9,16,f,wood,30,69.00134261033743,N
16,14,m,G,30,69.96571479076148,N
11,15,m,G,59,46.07714445638193,N
20,9,m,G,13,64.00849193145272,N
13,6,m,G,4,103.22422028430614,N
1,5,m,G,12,52.35084961481796,N
3,15,m,G,51,74.76442460012903,N
15,11,f,G,36,89.74045769825369,y
8,16,m,G,43,77.37262633253508,N
4,9,m,Q,16,97.02705939008933,N
21,6,m,G,31,64.18916059919819,y
4,11,f,G,34,101.03591282492528,y
14,11,m,G,67,88.0426182785892,y
15,5,f,G,74,80.57292582224605,N
9,5,m,G,72,57.30446539665341,N
12,10,m,G,33,61.49143837500578,y
11,15,m,G,27,56.14076278238075,N
19,3,m,G,14,69.14702797923655,N
14,9,f,G,50,89.81860411413527,N
13,5,m,G,40,61.9490923051267,N
20,7,m,G,30,81.74118802084871,N
5,6,m,G,73,120.52852611104319,N
15,4,m,G,41,65.36463293252089,N
17,12,m,G,48,68.31912563177984,N
5,16,f,G,49,41.44785623211013,N
4,12,f,G,4,56.19802068283978,N
18,10,m,G,11,56.57157766558811,N
20,9,m,G,38,47.05436151099887,N
9,4,m,G,60,48.12128399493093,N
3,12,m,L,49,84.578729438625,N
2,12,m,wood,64,44.40893327763469,N
