feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
Anterior,AMNH99.1/100,1.047127937659947,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/100,0.4064193308076884,12,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/100,1.2595064850254087,8,37.5591283,6.89761633,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/101,1.3500897091545032,9,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/101,-0.02766838761163337,7,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/101,0.28149131586644816,6,39.0329661,7.2151844,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/102,0.9628516611004382,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/102,0.7512598217060025,12,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/102,0.8939344222402277,8,34.8934044,5.70308472,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/103,0.4954905554677398,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/103,1.3209456449129389,12,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/103,1.2725335035008003,8,29.6004044,5.18766442,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/104,0.9334012443228907,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/104,1.4390352945791551,12,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/104,1.124693425663887,8,44.0440145,8.29624584,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/105,0.4925133212726527,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/105,1.0776380211780707,12,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/105,0.4450616946926987,8,32.5480799,5.81978104,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/107,1.3204941077165306,8,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/107,0.8781514997019012,10,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/107,0.8138584452797764,7,56.1166683,10.2682079,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/109,0.5774977462164144,12,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/109,1.4844428656098962,10,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/109,0.8283111269870636,8,43.749247,8.23260632,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/110,0.6978546695470499,5,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/110,0.7341588880331914,6,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/110,1.1555685507535582,4,41.9806416,7.85088419,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/111,1.0760624713041615,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/111,1.0985940043559503,12,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/111,1.1072125645107391,8,42.2754092,7.9144902,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/112,1.9223686285483426,12,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/112,0.7082954450953913,11,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/112,0.6578718066929079,8,43.749247,8.23260632,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/160,0.514202069721943,4,55.0,15.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/160,1.1954348359593632,5,55.0,15.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/160,1.4398601035051883,4,55.0,15.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59,0.84764720893322,12,48.8,10.5,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59,0.5016310278737153,6,48.8,10.5,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59,0.5090998060050751,8,48.8,10.5,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/59-B,1.21192703605427,6,40.0,10.0,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/59-B,1.2560773249600317,6,40.0,10.0,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/59-B,1.1607358979184912,4,40.0,10.0,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/60,0.5848448226218605,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Posterior,AMNH99.1/60,1.0125573592514063,6,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Premolar,AMNH99.1/60,0.9575368413671083,4,37.8538959,6.96111299,0.5,Homo sapiens,Alaska
Anterior,AMNH99.1/61,1.0061380210279876,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/61,1.3171485685765099,12,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Premolar,AMNH99.1/61,1.008476032209814,8,34.3166852,6.19980411,0.75,Homo sapiens,Alaska
Anterior,AMNH99.1/64,1.2254210112530648,12,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Posterior,AMNH99.1/64,0.9341389957512396,10,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Premolar,AMNH99.1/64,1.039696124102399,8,43.1468959,7.47240717,0.25,Homo sapiens,Alaska
Anterior,AMNH99.1/72,1.202729008161631,12,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
Posterior,AMNH99.1/72,0.20764988653833982,11,46.1073874,8.74186019,0.75,Homo sapiens,Alaska
